Tiếng Việt,Tiếng BaNa
Báo cáo kết quả kiểm tra về Chi nhành Ngân hàng Chính sách xã hội tỉnh để tổng hợp báo cáo UBND tỉnh.,Băo kao kêt koa drong kiêm tra xưt tơ Chi nhănh Ngân hang Chĭnh sach xa hô̆i tinh xư̆ tông hơp 'băo kăo UBND tinh
Các Đoàn kiểm tra tự giải thể sau khi hoàn thành nhiệm vụ.,Rim tơ pul kiêm tra tư̆ kơ dih yai thê đưng rŏng drong keh kong nhiê̆m vŭ
"Điều 3. Chánh Văn phòng UBND tỉnh, Giám đốc Chi nhánh Ngân hàng Chính sách xã hội tỉnh, Thủ trưởng các sở, ban, ngành liên quan","Điêu mă pêng. Văn Phong UBND tinh, Yam đôk Chi nhanh Ngân hang chĭnh sach xa hô̆i tinh, kơ dră tơm rim Sơ, 'ban, nganh liên koan"
"Các ông (bà) có tên tại Điều 1 và các đơn vị, hộ vay được kiểm tra chịu trách nhiệm thi hành Quyết định này kể từ ngày ký.","Rim 'Bok (yă) ơ̆i măt tơ Điêu minh xưm khul đơn vĭ, unh hnam xre jên đĕi kiêm tra chĭu trach nhiê̆m thi hanh kuyê̆t đĭnh 'nâu đưng mă jơ nang ky̆"
Chỉ thị về việc thực hiện chương trình đưa võ cổ truyền Bình Định vào trường học năm học 2015 - 2016 và giai đoạn 2016 - 2020 trên địa bàn tỉnh,Chi thĭ lơm drong thưk hiê̆n chương trinh chĕp bjo kô truyên 'Binh Đĭnh mưt tơ trương hok xơ năm hok 2015 - 2016 xưm yai đoăn 2016 - 2020 tơ apung teh  tinh
Thực hiện Chương trình hành động số 16-CTr/TU ngày 18/7/2013 của Tỉnh ủy Bình Định ,Thưk hiê̆n chương trinh hanh đô̆ng sô̆ 16-CTr/TU năr 18/7/2013 dĭ Tinh uy 'Binh Đĭnh
Về việc thực hiện Nghị quyết số 08/TW của Bộ Chính trị về tăng cường sự lãnh đạo của Đảng,Lơm drong thưk hiê̆n nghĭ kuyê̆t sô̆ 08/TW dĭ 'Bô̆ chĭnh trĭ lơm tăng kương drong lanh đăo dĭ đang
"Tạo bước phát triển mạnh mẽ về thể dục, thể thao đến năm 2020 và các văn bản chỉ đạo có liên quan của UBND tỉnh","Pơm yak tơ kong tơ 'yung deh lơm thê yuk, thê thao truh xơ năm 2020 xưm rim văn 'ban chi đăoơ̆i liên koan dĭ UBND tinh"
"Thời gian qua Sở Giáo dục và Đào tạo phối hợp với Sở Văn hóa, Thể thao và Du lịch và các cơ quan liên quan đã triển khai chương trình","Lơmjơ nang yâu Sơ yao yuk xưm Đao tăo phô̆i hơp adring Sơ Văn hŏa, thê thao xưm yu lich xưm rim kơ koan lien koan dĭ UBND tinh"
Đưa võ cổ truyền Bình Định vào các trường học trên địa bàn tỉnh và đạt được một số kết quả nhất định,Chĕp bjo kô truyên 'Binh Đĭnh mưt rim trương hok tơ apung teh tinh xưm đat đĕi minh kơ sô̆ drong đĕi lưng bơ gloh
"Tuy nhiên công tác triển khai thực hiện còn một số tồn tại, hạn chế nên chưa đạt được mục tiêu, yêu cầu đề ra","Mă lĕi drong kông tak triên khai pơm ahrĕi ară ơ̆i minh kơ sô̆ drong đim đĕi kơ na đim đat đĕi muk tiêu, yêu kâu đê lech"
Để tổ chức thực hiện có hiệu quả chương trình đưa võ cổ truyền Bình Định vào trường học trên địa bàn tỉnh trong thời gian đến,Xư̆ tô chưk pơm ơ̆i hiê̆u koa chương trinh chĕp bjo kô truyên 'Binh Đĭnh mưt trương hok tơ apung teh tinh lơm jơ nang truh 'nâu kơnh
"Chủ tịch UBND tỉnh yêu cầu Thủ trưởng các sở, ngành liên quan và Chủ tịch UBND các huyện, thị xã, thành phố tổ chức thực hiện tốt một số nội dung chủ yếu sau đây:","Chu tich UBND tinh hmăng kơ dră tơm rim Sơ, nganh liên koan xưm Chu tich UBND rim tơ ring, thĭ xa, thanh phô̆ tô chưk pơm 'lưng minh kơ sô̆ nô̆i yung đưng rŏng 'nâu"
 Sở Giáo dục và Đào tạo,Sơ Yăo yuk xưm Đao tăo
"Hướng dẫn Phòng Giáo dục và Đào tạo các huyện, thị xã, thành phố, các trường trung học phổ thông trên địa bàn tỉnh","Pơ chi Sơ Yăo yuk xưm Đao tăo rim tơ ring, thĭ xa, thanh phô̆ rim trương trung hok phô thông tơ apung teh tinh"
"Từ năm học 2015 - 2016, tổ chức dạy võ cổ truyền Bình Định trong thời gian ngoại khóa.","Đưng xơ năm hok 2015 - 2016, tô chưk pơ tâp bjo kô truyên 'Binh Đĭnh lơm jơ nang ngoăi khŏa."
"Nội dung giảng dạy theo chương trình tập huấn hàng năm và hướng dẫn cụ thể của liên Sở Giáo dục và Đào tạo và Sở Văn hóa, Thể thao và Du lịch.","Nô̆i yung pơ tâp tĭa chương trinh tâ̆p huâ̆n rim xơ năm xưm pơ chi kŭ thê dĭ liên Sơ Yăo yuk xưm Đao tăo xưm Sơ Văn hŏa, Thê thao xưm Yu lich."
"Hàng năm, cân đối kinh phí trong dự toán được giao để phục vụ công tác dạy ngoại khóa võ cổ truyền Bình Định cho các trường trung học phổ thông trên địa bàn tỉnh.","Rim xơ năm, kân đô̆i jên lơm yư̆ toăn đĕi pơ jao xư̆ phuk vŭ drong pơ tâ̆p ngoăi khŏa bjo kô truyên 'Binh Đĭnh ăn rim trương trung hok phô thông tơ apung teh tinh"
"Từ năm học 2017 - 2018, bổ sung môn võ cổ truyền vào nội dung chương trình thi đấu của Hội Khỏe Phù Đổng cấp huyện và tỉnh.","Đưng xơ năm hok 2017 - 2018, 'bô sung môn bjo kô truyên mưt lơm nô̆i yung chương trinh thi dĭ Hô̆i khoe Phu Đông kâp tơ ring xưm tinh."
"Sở Văn hóa, Thể thao và Du lịch","Sơ Văn hŏa, Thê thao xưm Yu lich"
"Chủ trì, phối hợp với Sở Giáo dục và Đào tạo, Sở Tài chính thống nhất chương trình, nội dung giảng dạy, kinh phí tổ chức các lớp tập huấn giáo viên các cấp trình UBND tỉnh phê duyệt trước khi tổ chức triển khai thực hiện.","Chu tri, phô̆i hơp adring Sơ Yăo yuk xưm Đao tăo, Sơ Tai chĭnh thô̆ng nhâ̆t chương trinh, nô̆i yung pơ tâ̆p, jên tô chưk rim lơp tâ̆p huâ̆n yao viên rim kâ̆p trinh UBND tinh phê yuiêt adrol jơ nang vă triên khai pơm."
Sở Tài chính,Sơ Tai chĭnh
"Căn cứ tình hình ngân sách địa phương, tham mưu UBND tỉnh bố trí kinh phí thực hiện chương trình đưa môn võ cổ truyền Bình Định vào trường học theo phân cấp quản lý ngân sách hiện hành; ","Kăn kư̆ drong chĭnh sach dĭ đĭa phương, tham mưu UBND tinh ô̆ trĭ jên pơm chương trinh chĕp môn bjo kô truyên 'Binh Đĭnh mưt trương hok tĭa phân kâp gô răp ngân sach hiê̆n hanh;"
"Thực hiện thanh tra, kiểm tra việc sử dụng các nguồn kinh phí nêu trên theo quy định.","Năm thanh tra, kiêm tra drong sư yŭng rim nguôn jên khan dĭ kơ pưng tĭa kuy đĭnh"
"Đài Phát thanh và Truyền hình Bình Định, Báo Bình Định","Đai phat thanh xưm truyên hinh 'Binh Đĭnh, 'Băo 'Binh Đĭnh"
"Đẩy mạnh công tác tuyên truyền trên sóng phát thanh, truyền hình và Báo Bình Định nhằm tạo sự đồng thuận của xã hội ","Jră deh drong tư̆u tơ ja tra đam tơ sŏng phat thanh, truyên hinh xưm 'Băo 'Binh Đĭnh xư̆ tăo đông thuâ̆n dĭ xa hô̆i"
"Về bảo tồn và phát huy võ cổ truyền Bình Định, kể cả chủ trương đưa võ cổ truyền Bình Định vào các trường học trên địa bàn tỉnh.","Lơm drong jư xưm pơ ang bjo kô truyên 'Binh Đĭnh, blŭ chu trương chĕp bjo kô truyên 'Binh Đĭnh mưt trương hok tơ apung teh 'Binh Đĭnh"
"UBND các huyện, thị xã, thành phố","UBND rim tơ ring, thĭ xa, thanh phô̆"
Chỉ đạo Phòng Giáo dục và Đào tạo:,Chi đăo phong Yăo yuk xưm Đao tăo
Tổ chức triển khai thực hiện có hiệu quả nội dung giảng dạy võ cổ truyền Bình Định trong trường học theo hướng dẫn của Sở Giáo dục và Đào tạo.,Tô chưk triên khai pơm lưng nô̆i yung pơ tâp pơ tho bjo kô truyên 'Binh Đĭnh lơm trương hok tĭa drong pơ chi dĭ Sơ Yăo yuk xưm Đao tăo.
"Chủ trì, phối hợp với Phòng Tài chính - Kế hoạch xây dựng kế hoạch và dự toán kinh phí chi bồi dưỡng giáo viên giảng dạy ngoại khóa môn võ cổ truyền Bình Định ","Chu tri, phô̆i hơp adring Phong tai chĭnh - Kê̆ hoach pơ jing kê̆ hoach xưm y̆ư toăn kinh phĭ ăn 'bôi yương bơ ngai pơ tâp pơ tho pơ tâp ngoăi khŏa môn bjo kô truyên 'Binh Đĭnh."
"Tại các trường tiểu học và trung học cơ sở, gửi cơ quan tài chính cùng cấp để tổng hợp vào dự toán ngân sách của địa phương trình cấp có thẩm quyền xem xét phê duyệt.","Tơ rim trương tiêu hok xưm trung hok kơ sơ, chĕp ăn kơ koan adring kâp xư̆ tông hơp lơm yư̆ toăn ngân sach dĭ đĭa phương trinh kâp ơ̆i thâm kuyên ngŏ hnhĕi phê yuiê̆t."
"Cân đối, bố trí ngân sách địa phương để phục vụ công tác giảng dạy ngoại khóa môn võ cổ truyền Bình Định trên địa bàn theo phân cấp quản lý ngân sách nhà nước hiện hành.","Kân đô̆i, 'bô̆ trĭ jên đĭa phương xư̆ phuk vŭ ăn drong pơ tâp ngoăi khŏa môn bjo kô truyên 'Binh Đĭnh tơ đĭa 'ban tĭa phân kâp gô răp ngân sach kơ pal teh đak hiê̆n hanh."
Chỉ đạo kiểm tra việc sử dụng các nguồn kinh phí theo quy định.,Chi đăongŏ hnhĕi drong sư yŭng rim nguôn jên tĭa kuy đĭnh
"Chỉ đạo Phòng Văn hóa và Thông tin, Trung tâm Văn hóa thông tin - Thể thao, Hội Võ thuật phối hợp với Phòng Giáo dục và Đào tạo;","Chi đăo Phong Văn hŏa xưm Thông tin, Trung tâm Văn hŏa thông tin - thê thao, Hô̆i bjo thuâ̆t phô̆i hơp adring phong Yăo yuk xưm Đao tăo;"
Các trường trung học phổ thông trên địa bàn tỉnh tổ chức triển khai có hiệu quả nội dung giảng dạy võ cổ truyền Bình Định trong trường học.,Rim trương hok phô thông tơ apung teh cham tinh tô chưk pơm 'lưng nô̆i yung pơ tâp bjo kô truyên 'Binh Đĭnh ăn rim trương hok.
"Thủ trưởng các sở, ngành, cơ quan, đơn vị có liên quan và Chủ tịch UBND các huyện, thị xã, thành phố","Kơ dră tơm rim Sơ, nganh, kơ koan, đơn vĭ ơ̆i liên koan xưm Chu tich UBND rim tơ ring, thĭ xa, thanh phô̆"
Triển khai thực hiện nghiêm túc Chỉ thị này và báo cáo kết quả theo định kỳ cho UBND tỉnh (thông qua Sở Giáo dục và Đào tạo) để theo dõi chỉ đạo./.,Triên khai pơm nghiêm tuk Chi thĭ 'nâu xưm 'băo drong pơm đĕi tĭa đĭnh ky ăn UBND tinh (thông koa Sơ Yăo yuk xưm Đao tăo) xư̆ tĭa ngŏ hnhĕi chi đăo./.
"Quyết định về việc ban hành Kế hoạch phát triển nhà ở cho sinh viên của các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp và dạy nghề thuê trên địa bàn tỉnh Bình Định giai đoạn 2009 - 2015","KueâÊt ñinh lôêm tôdrong aên leêch glong pônhroh pôjing hnam oeêi aên sinh vieân ñôêng rim tröông Ñai hoêk, Cao ñaêng, Trung kôêp chueân nghieâp oeêng pôtôêp ngheâ thueâ lôêm tôring tinh ‘Binh Ñinh jônang ‘baêl ôbôêu khoâng hrieâng le tôxiênh – ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm"
Ủy ban Nhân dân Tỉnh,Uy ‘ban Nhaân daân Tinh
Căn cứ Luật Tổ chức HĐND và UBND ngày 26/11/2003;,Kaên köê Luaât toâ chöêk HÑND oeêng UBND ‘naêr ‘baêl jiêt drôêu kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le peâng
Căn cứ Quyết định số 65/2009/QĐ-TTg ngày 24/4/2009 của Thủ tướng Chính phủ,Kaên köê KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak
"Ban hành một số cơ chế, chính sách phát triển nhà ở cho sinh viên của các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp và dạy nghề thuê;","AÊn leêch minh ksoâÊ tôdrong pôjing hnam oeêi aên sinh vieân ñôêng rim tröông Ñai hoêk, Cao ñaêng, Trung kôêp chueân nghieâp oeêng pôtôêp ngheâ thueâ"
Quyết định số 96/2009/QĐ-TTg ngày 22 tháng 7 năm 2009 của Thủ tướng Chính phủ,KueâÊt ñinh ksoâÊ tôxiênh jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt ‘baêl kheêi tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak
"Về sửa đổi một số điều của Quyết định số 65/2009/QĐ-TTg, Quyết định số 66/2009/QĐ-TTg và Quyết định số 67/2009/QĐ-TTg ngày 24/4/2009 của Thủ tướng Chính phủ;","Lôêm tôplih minh ksoâÊ tôdrong ñôêng KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg, KueâÊt ñinh ksoâÊ drôêu jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg oeêng KueâÊt ñinh ksoâÊ drôêu jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak"
Xét đề nghị của Sở Xây dựng tại văn bản số 614/SXD-QLN ngày 21/9/2009,Xeêt pôtho khan ñôêng Sô Xaây ‘yöng lôêm vaên ‘ban ksoâÊ drôêu minh puoân/SXD-QLN ‘naêr ‘baêl jiêt minh kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh
"Điều 1. Ban hành kèm theo Quyết định này Kế hoạch phát triển nhà ở cho sinh viên của các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp và dạy nghề thuê trên địa bàn tỉnh Bình Định giai đoạn 2009 - 2015 ","Ñieâu minh. AÊn leêch pôteêp adriêng KueâÊt ñinh anu Glong pônhroh pôjing hnam oeêi aên sinh vieân ñôêng rim tröông Ñai hoêk, Cao ñaêng, Trung kôêp chueân nghieâp oeêng pôtôêp ngheâ thueâ lôêm tôring tinh ‘Binh Ñinh jônang ‘baêl ôbôêu khoâng hrieâng le tôxiênh – ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm"
Theo Quyết định số 65/2009/QĐ-TTg ngày 24/4/2009 của Thủ tướng Chính phủ.,‘Boi KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak
"Điều 2. Giao Sở Xây dựng (là cơ quan thường trực) chủ trì, phối hợp các sở, ban, ngành và các địa phương liên quan","Ñieâu ‘baêl. Pôjao Sô Xaây ‘yöng (la kô kuan thöông tröêk) pôgôl, adriêng rim sô, ‘ban, nganh oeêng rim cham pôlei lieân kuan"
"Hướng dẫn, tổ chức triển khai thực hiện Kế hoạch đạt mục tiêu, đối tượng và tiến độ đề ra;","Pôtho khan, pôloêk pônhroh pôm glong pônhroh ñat muêk tieâu, ñoâÊi töông oeêng tôdrong aên leêch"
Thường xuyên báo cáo kết quả thực hiện và những vướng mắc cho UBND tỉnh để chỉ đạo.,Deêch pôtho khan thu ‘yoêk pôm oeêng rim tôdrong amaêk aên UBND tinh söê pôgôl
"Điều 3. Chánh Văn phòng UBND tỉnh, Giám đốc các Sở Xây dựng, Kế hoạch và Đầu tư","Ñieâu peâng. Chaênh Vaên phong UBND tinh, Giam ñoâk rim Sô Xaây ‘yöng, Keâ hoach oeêng Ñaâu tö"
"Tài chính, Tài nguyên và Môi trường, Giáo dục và Đào tạo, Chủ tịch UBND các huyện, thành phố và Thủ trưởng các sở, ban, ngành liên quan","Tai chiênh, Tai nguyeân oeêng Moâi tröông, ‘yaêo ‘yuêk oeêng Ñao tao, chu tich UBND rim hueân, thanh phoâÊ oeêng pôgôl rim sô, ‘ban, nganh lieân kuan"
Chịu trách nhiệm thực hiện Quyết định này kể từ ngày ký./.,ÔÊi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê./.
Kế hoạch,Glong pônhroh
"Phát triển nhà ở cho sinh viên của các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp và dạy nghề thuê trên địa bàn tỉnh Bình Định giai đoạn 2009 - 2015","Pôjing hnam oei aên sinh vieân ñôêng rim tröông Ñai hoêk, Cao ñaêng, Trung kôêp chueân nghieâp oeêng pôtôêp ngheâ thueâ lôêm tôring tinh ‘Binh Ñinh jônang ‘baêl ôbôêu khoâng hrieâng le tôxiênh – ‘baêl ôbôêu khoâng hrieâng minh jiêt pôñaêm"
(Ban hành kèm theo Quyết định số 799/QĐ-UBND ngày 18/11/2009 của UBND tỉnh),(AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ tôpôêh tôxiênh tôxiênh/QÑ-UBND ‘naêr minh jiêt tôhngam kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng UBND tinh)
Cở sở lập kế hoạch:,Tôdrong pôm glong pônhroh:
Căn cứ Luật Nhà ở ngày 29/11/2005;,Kaên köê Luaât hnam oei ‘naêr ‘baêl jiêt tôxiênh kheêi minh jiêt minh sônaêm ‘baêl ôbôêu khoâng hrieâng le pôñaêm
Căn cứ Nghị định số 90/2006/NĐ-CP ngày 06/9/2006 của Chính phủ quy định chi tiết và hướng dẫn thi hành Luật Nhà ở;,Kaên köê Nghiê ñinh ksoâÊ tôxiênh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu/NÑ-CP ‘naêr drôêu kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu ñôêng kôpal teh ñak quy ñinh chi tieât oeêng pôtho khan pôm Luaât hnam oei
Căn cứ Quyết định số 76/2004/QĐ-TTg ngày 06/5/2004 của Thủ tướng Chính phủ về việc phê duyệt định hướng phát triển nhà ở đến 2010 và 2020;,Kaên köê KueâÊt ñinh ksoâÊ tôpôêh jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân/QÑ- TTg ‘naêr drôêu kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le puoân ñôêng Thu töông kôpal teh ñak lôêm tôdrong pheâ jueâÊt tôdrong pôjing hnam oei truh sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt oeêng sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
Chỉ thị số 34/2006/CT-TTg ngày 26/9/2006 của Thủ tướng Chính phủ về việc triển khai thi hành Luật Nhà ở;,Chi thiê ksoâÊ peâng jiêt puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu/CT-TTg ‘naêr ‘baêl jiêt drôêu kheêi tôxiênh sônaêm ‘baêl ôbôêu khoâng hrieâng le drôêu ñôêng Thu töông kôpal teh ñak lôêm tôdrong pônhroh pôm Luaât hnam oei
"Căn cứ Nghị quyết số 18/NQ-CP ngày 20/4/2009 của Chính phủ về một số cơ chế, chính sách",Kaên köê Nghiê kueâÊt ksoâÊ minh jiêt tôhngam/NQ-CP ‘naêr ‘baêl jiêt kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng kôpal teh ñak lôêm minh ksoâÊ tôdrong
"Nhằm đẩy mạnh phát triển nhà ở cho học sinh, sinh viên các cơ sở đào tạo và nhà ở cho công nhân lao động","Söê jôraê deâh pôjing hnam oei aên hoêk sinh, sinh vieân rim kô sô ñao tao oeêng hnam oei aên koâng nhaân pôm"
"Tại các khu công nghiệp tập trung, người có thu nhập thấp tại khu vực đô thị;","Lôêm rim apung koâng nghieâp pônhoâm, bôngai ôêi thu ‘yoêk ‘biêa lôêm apung ñoâ thi"
Quyết định số 65/2009/QĐ-TTg ngày 24/4/2009 của Thủ tướng Chính phủ,KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak
"Ban hành một số cơ chế, chính sách phát triển nhà ở cho sinh viên của các trường Đại học, Cao đẳng, Trung cấp chuyên nghiệp và dạy nghề thuê;","AÊn leêch minh ksoâÊ tôdrong pôjing hnam oei aên sinh vieân ñôêng rim tröông Ñai hoêk, cao ñaêng, Trung kôêp chueân nghieâp oeêng pôtôêp ngheâ thueâ"
Quyết định số 96/2009/QĐ-TTg ngày 22 tháng 7 năm 2009 của Thủ tướng Chính phủ,KueâÊt ñinh ksoâÊ tôxiênh jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak
"Về sửa đổi một số điều của Quyết định số 65/2009/QĐ-TTg, Quyết định số 66/2009/QĐ-TTg và Quyết định số 67/2009/QĐ-TTg ngày 24/4/2009 của Thủ tướng Chính phủ;","Lôêm tôplih minh ksoâÊ tôdrong ñôêng KueâÊt ñinh ksoâÊ drôêu jiêt pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg, KueâÊt ñinh ksoâÊ drôêu jiêt drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg oeêng KueâÊt ñinh ksoâÊ drôêu jiêt tôpôêh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/QÑ-TTg ‘naêr ‘baêl jiêt puoân kheêi puoân sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng Thu töông kôpal teh ñak"
