Tiếng Việt,Tiếng BaNa
"Đất được cày ải sớm, để ải 20 – 30 ngày sau đó đập nhỏ, nhặt sạch cỏ dại, tạp chất. ","Teh ñei kaêi ai sruoâÊih, söê ai ‘baêl jiêt truh peâng jiêt ‘naêr ñôêng roêng ‘noh srah ken, ‘yoêk ñiê nhaêt, tap chaâÊt"
"Lên luống cao 25 – 30 cm, rộng 1 – 1,2 m, có rãnh luống để thuận tiện đi lại chăm sóc, đào bứng cây con và thoát nước tốt.","Pôm luoâÊng ñuoâÊi ‘baêl jiêt pôñaêm truh peâng jiêt centimet, saê minh truh minh pheêi ‘baêl met, ôêi chônok luoâÊng söê alöng naêm tôme rong, sil grôê ‘long kon oeêng thoat ñak hôgeêi"
"Sau khi cắt xong hom giâm, tiến hành rạch hàng rộng 10 cm theo chiều ngang luống. Đặt hom giâm sát nhau (tương ứng mật độ 500 – 1000 hom/m2). Rạch hàng thứ 2 lấp đất cho hàng 1. Lấp đất kín 2 đốt của hom giâm.","Ñôêng roêng kaêt keh hom giaâm, pôm rach hang saê minh jiêt centimet ‘boi trong ngang luoâÊng. Söê hom giaâm jeÊâ adriêng (töông öêng maât ñoâ pôñaêm hrieâng truh minh ôbôêu hom lôêm minh met vuoâng). Rach hang maê ‘baêl ‘buê teh aên hang minh. ‘Buê teh sil ‘baêl apaêng ñôêng hom giaâm"
"Khi giâm xong, dùng bình ô doa tưới nước đều mặt luống. Lượng nước tưới chỉ vừa đủ cho đất ẩm trong suốt quá trình ươm cây.","Jônang giaâm keh, ‘yoêk ‘binh oâ yoa chruh ñak hôdôêi maêt luoâÊng. Löông ñak chruh anao böa duh aên teh lôngôp lôêm ñi jônang öôm ‘long"
Kỹ thuật chăm cây non,Kô kach tôme rong ‘long kon
"Sau khi giâm xong, dùng bình ô doa tưới nước đều mặt luống. Lượng nước tưới cho đất ẩm (ngày 2 lần sáng sớm và chiều mát), làm giàn mái che để tránh ánh nắng trực tiếp và mưa to làm cây bị thối.","Ñôêng roêng giaâm keh, ‘yoêk ‘binh oâ yoa chruh ñak hôdôêi maêt luoâÊng. Löông ñak chruh aên teh lôngôp (‘naêr ‘baêl maêng bôgheâ sruoâÊih oeêng ksôê mat), pôm pra athu söê hli toê tröêk tieâp oeêng ami groâng pôm ‘long ‘bi oâm"
"Dùng Pisomix – Y15 (ra rễ cực mạnh), hòa loãng 10g cho 1 bình ô doa 10 lít tưới đều cho 5 – 7m vườn ươm và cứ 5 ngày tưới lại 1 lần, tưới từ 3 – 4 lần.","Chaê yuoâ Pisomix – Y minh jiêt pôñaêm (leêch rieâÊh pôgloh ranh), jôdrôêu loang minh jiêt gam aên minh ‘binh oâ yoa minh jiêt lit chruh hôdôêi aên pôñaêm truh tôpôêh met vöôn öôm oeêng köê pôñaêm ‘naêr chruh minh maêng, chruh ñôêng peâng truh puoân tuoân"
"Sau giâm 15 - 20 ngày, tưới bổ sung dinh dưỡng bằng nước phân lân (hoặc NPK) loãng (5kg /1 sào 360 m2). Ngừng bón phân vô cơ trước khi bứng cây con ra trồng khoảng 10 ngày.","Ñôêng roêng giaâm minh jiêt pôñaêm truh ‘baêl jiêt ‘naêr, chruh tôguêm yinh yöông ñôêng ñak phôêng laân (thoi NPK) loang (pôñaêm kiloâgam lôêm minh sao peâng hrieâng drôêu jiêt met vuoâng). Thoâi ‘boên phôêng höu kô adrol jônang grôê ‘long kon leêch pôtaêm khoang minh jiêt ‘naêr"
Kỹ thuật chăm cây trưởng thành ,Kô kach tôme rong ‘long groâng
Sau 15-20 ngày các hom cây non sẽ ra rễ và phát triển bình thường. ,Ñôêng roêng minh jiêt pôñaêm truh ‘baêl jiêt ‘naêr rim hom ‘long ken jôh leêch rieâÊh oeêng pôjing ‘binh thöông
"Trong thời kỳ này ta chỉ cần chăm sóc cây non bình thường, kết hợp các yếu tố cung cấp nước đầy đủ để giữ độ ẩm cho cây phát triển.","Lôêm jônang anu, bôên waê tôme rong ‘long kon ‘binh thöông, adriêng rim tôdrong tôguêm ñak duh söê jöê ñoâ lôngôp aên ‘long pôjing"
"Ngoài ra ta có thể kết hợp làm cỏ, xới đất nhẹ trên bề mặt cho đất tơi xốp để cây trồng nhanh bén rễ, phát triển nhanh hơn. Kết hợp làm diệt sâu bọ cho cây và bón phân để cung cấp chất dinh dưỡng cho cây phát triển.","Minh kôpah bôên ôêi tôdrong adriêng pôm nhaêt, khôl teh dal lôêm trong maêt aên teh lômön söê pôtaêm ‘long ranh leêch rieâÊh, pôjing ranh loi. Adriêng pôm ‘bet jôroâng aên ‘long oeêng ‘boên phôêng söê tôguêm yinh yöông aên ‘long pôjing"
Kỹ thuật thu hoạch cây,Kô kach thu ‘yoêk ‘long
Cây Giảo cổ lam sau 4 - 5 tháng kể từ ngày trồng (tuỳ theo tốc độ sinh trưởng và phát triển về khối lượng dược liệu của cây trên từng thửa ruộng) có thể tiến hành thu hoạch dược liệu.,‘Long jao koâ lam ñôêng rong puoân truh pôñaêm kheêi khan ñôêng ‘naêr pôtaêm (tuy ‘boi tôdrong yaêl arih oeêng pôjing lôêm khoâÊi löông yöôêk lieâu ñôêng ‘long lôêm rim toê bal) ôêi tôdrong pôm thu ‘yoêk yöôêk lieâu
Một số lưu ý về kĩ thuật thu hoạch,Minh ksoÊâ ngoê hnheêi lôêm kô kach thu ‘yoêk
"Không thu hoạch sau những đợt mưa dài, khi đó hàm lượng hoạt chất thấp và tỷ lệ dược liệu tươi/khô rất cao, phơi lâu khô. Nên thu hoạch vào những ngày nắng to, để đảm bảo dược liệu có màu xanh đẹp.","Biê thu ‘yoêk ñôêng roêng rim maêng ami ñunh, jônang ‘noh ham löông hoat chaâÊt ‘biêa oeêng ty leâ yöôêk lieâu arih/srieâng pôgloh deâh, draê ñunh srieâng. Waê thu ‘yoêk tômöt rim ‘naêr toê deâh, söê tômaên tôl yöôêk lieâu ôêi môu kseê lieâm"
"Nên thu hoạch sau khi bón phân ít nhất 3 tuần. Không được thu hoạch sau khi bón phân vì như vậy sẽ còn tồn dư đạm nitrat trong dược liệu, ảnh hưởng đến chất lượng dược liệu.","Waê thu ‘yoêk ñôêng roêng jônang ‘boên phôêng ‘biêa pôgloh peâng tuoân. Biê ñei thu ‘yoêk ñôêng roêng ‘boên phôêng yua in ‘noh araê lôkah ñam nitrat lôêm yöôêk lieâu, anh höông truh tôdrong thu ‘yoêk ñei yöôêk lieâu"
"Thu hoạch: Cắt toàn bộ cây, chỉ để lại phần gốc cây cách mặt đất khoảng 20 - 30 cm để cây có điều kiện tiếp tục tái sinh cho thu hoạch lứa sau.","Thu ‘yoêk: Kaêt ñi ‘long, araê söê phaân tôm ‘long kach maêt teh khoang ‘baêl jiêt truh peâng jiêt centimet söê ‘long ôêi tôdrong ling lang yaêl arih aên thu ‘yoêk maêng ñôêng roêng"
"Năng suất trung bình đạt 82,8 - 120 kg dược liệu khô/sào bắc bộ (360 m2)/lứa cắt, tương đương 2.300 - 3.000 kg dược liệu khô/ha/lứa cắt.","Naêng suaât tiênh jônuêm ñat tôhngam jiêt ‘baêl pheêi tôhngam truh minh hrieâng ‘baêl jiêt kiloâgam yöôêk lieâu srieâng lôêm minh sao ‘baêk ‘boâ (peâng hrieâng drôêu jiêt met vuoâng) minh maêng kaêt, dang dang ‘baêl ôbôêu peâng hrieâng truh peâng ôbôêu kiloâgam yöôêk lieâu srieâng minh hecta minh maêng kaêt"
"Cây thu hoạch về rửa sạch hết đất, nhặt sạch cỏ dại và các chất lẫn tạp, để ráo nước, băm khúc dài khoảng 3 - 3,5 cm","‘Long thu ‘yoêk söt ‘nhao sach ñiê teh, ‘yoêk sach ‘nhaêt oeêng rim ñoâ pô kueê, söê srieâng ñak, koh khuk ñuoâÊi khoang peâng truh peâng pheêi pôñaêm centimet"
"Rãi mỏng trên bạt sạch, phơi dưới nắng to, thường xuyên đảo đều đến khi dược liệu khô đạt độ ẩm khoảng ≤ 12% là được.","Ta ateêng lôêm ‘bat sach, draê leêch toê deâh, deêch jôdrôêu hôdôêi truh jônang yöôêk lieâu srieâng ñat ñoâ lôngôp khoang ken loi thoi dang dang minh jiêt ‘baêl phaân traêm la ñei"
Hiện tại việc nghiên cứu và trồng cây giảo cổ lam rất phát triển và cũng rất thành công một số quy mô ở các vùng miền khác nhau.,Ahreêi tôdrong nghieân köêu oeêng pôtaêm ‘long jiao koâ lam pôgloh pôjing oeêng kung pôgloh keh kong minh ksoÊâ kuy moâ oei rim apung nai
Trồng cây giảo cổ lam cho người trồng năng suất khá cao.,Pôtaêm ‘long jao koâ lam aên bôngai pôtaêm thu ‘yoêk khaê lö
"Thống kê năng suất trung bình của trồng cây giảo cổ lam (2,3 kg/m2 cây giảo cổ lam) với giá bán là 14.000 đ/kg, thì mỗi ha (chỉ thực trồng 6.000 m2) cho thu nhập 210 triệu đồng","Pôtho khan thu ‘yoêk tiênh jônuêm ñôêng pôtaêm jao koâ lam (‘baêl pheêi peâng kiloâgam lôêm minh met vuoâng ‘long jao koâ lam) adriêng giaê teêch la minh jiêt puoân ôbôêu minh kiloâgam, thoi minh hecta (chi tôpaê pôtaêm drôêu ôbôêu met vuoâng) aên thu ‘yoêk ‘baêl hrieâng minh jiêt trieâu ñoâng"
"Giá trị này tạo ra cao hơn so với việc trồng các loại cây: ngô, khoai, lúa… tương ứng trên diện tích và khâu chăm sóc giống thế.","Giaê tri anu pôm leêch deâh loi pôting adriêng tôdrong pôtaêm rim loai ‘long: hôbo, ‘bum, ‘ba… töông öêng lôêm chñeh teh oeêng tôdrong tôme rong in ‘noh"
Rõ ràng cây giảo cổ lam không những đem lại cho chúng ta rất nhiều về tính năng dược học mà nó còn đem lại giá trị kinh tế rất cao cho con người.,Ro rang ‘long jao koâ lam biê thoâi cheêp aên bôên pôgloh lö lôm tôdrong yöôêk hoêk maê hô araê cheêp aên giaê tri kinh teÊâ pôgloh lö aên bôngai.
Kỹ thuật trồng và chăm sóc cây ngô vụ đông áp dụng làm đất tối thiểu,Kô kach pôtaêm oeêng tôme rong ‘long hôbo vuê Ñoâng tôjung pôm pôm teh toâÊi thieâu
Cây ngô thường được sản xuất trên đất 2 vụ lúa và là một trong những cây trồng chính ở vụ đông trên địa bàn tỉnh.,‘Long hôbo deêch ñei choh jang lôêm teh ‘baêl vuê ‘ba oeêng la minh lôêm rim ‘long pôtaêm chiênh oei vuê ñoâng lôêm tôring tinh
"Ngô khá dễ trồng và chăm sóc nhưng để cho năng suất cao, chất lượng tốt bà con nông dân cần chú ý","Hôbo khaê hlaêu pôtaêm oeêng tôme rong maêleêi söê aên thu ‘yoêk deâh, tôdrong thu ‘yoêk ñei hôgeêi kôtuêm kôtong waê ngoê hnheêi"
Thời vụ: Gieo trồng trong tháng 9 để tránh gặp rét khi trỗ cờ phun râu vì vậy cây ngô vụ đông trồng càng sớm càng tốt.,Thôi vuê: Jul adreâÊch lôêm kheêi tôxiênh söê hli tôjröêm tônghieât jônang leêch kô leêch soêk yua ‘noh ‘long hôbo vuê ñoâng pôtaêm kang sruoâÊih kang hôgeêi
"Để tranh thủ thời vụ tốt nhất bà con nên chuẩn bị cây con trồng trong bầu, khi cây đạt tiêu chuẩn thì đem ra ruộng trồng, vừa giải quyết khâu thời vụ, đồng thời đảm bảo tỉ lệ sống cao","Söê tranh thu thôi vuê hôgeêi pôgloh kôtuêm kôtong waê chuaân ‘bi ‘long kon pôtaêm lôêm ‘bôu, jônang ‘long ñat tôdrong thi cheêp leêch tômaên pôtaêm, anao tôguêm tôdrong thôi vuê thoi le tômaên tôl ty leâ yaêl arih deâh"
"ngoài ra còn điều chỉnh được mật độ trồng, điều chỉnh hướng lá để cây ngô phát triển thuận lợi, cho năng suất cao trong vụ đông.","Minh kôpah araê tôplih ñei maât ñoâ pôtaêm, tôplih höôêng hla söê ‘long hôbo pôjing alöng, aên thu ‘yoêk deâh lôêm vuê ñoâng"
"Chuẩn bị giống: Trong vụ đông, sử dụng các giống ngô có ngắn ngày, năng suất cao, có khả năng chịu mật độ, thâm canh, chịu hạn và lạnh như: NK4300, CP333, LVN885, Nk4300Bt/GT...; nhóm ngô nếp: MX4, MX10, HN88.","Chuaân ‘bi adreâÊch: Lôêm vuê ñoâng, chaê yuoâ rim adreâÊch hôbo ôêi kôñeh ‘naêr, thu ‘yoêk deâh, ôêi tôdrong chiu maât ñoâ, thaâm kanh, chiu toê oeêng tônghieât in: NK puoân peâng khoâng khoâng; CP peâng peâng peâng; LVN tôhngam tôhngam pôñaêm; Nk puoân peâng khoâng khoâng Bt/GT…; kôpul hôbo neâp: MX puoân; MX minh jiêt; HN tôhngam tôhngam"
"Lượng giống khoảng 20 - 25 kg/ha, tùy từng loại giống.","Löông adreâÊch khoang ‘baêl jiêt truh ‘baêl jiêt pôñaêm kiloâgam minh hecta, tuy rim loai adreâÊch"
"Xử lý hạt giống trước khi trồng đối với ngô bầu: Ngâm hạt giống trong nước sạch 8-10 tiếng sau đó đem ủ, có thể ủ cùng cát hoặc trấu, tốt nhất nên dùng cát ẩm để ủ.","Xö lyê geêr adreâÊch adrol jônang pôtaêm adriêng hôbo ‘bôu: Tong geêr adreâÊch lôêm ñak sach ñôêng tôhngam truh minh jiêt jô ñôêng roêng ‘noh cheêp u, ôêi tôdrong u adriêng chuêah thoi hnuh ‘ba, hôgeêi pôgloh la chaê yuoâ teh söê u"
"Sau 20-24 tiếng là hạt nảy mầm, lưu ý cần kiểm tra giá thể, nếu ẩm quá có thể làm thối hạt giống.","Ñôêng roêng ‘baêl jiêt truh ‘baêl jiêt puoân jô la geêr lech boâp, pôgloh waê ngoê hnheêi giaê theâ, tôêng lôngôp pôloh ôêi tôdrong pôm hö geêr adreâÊch"
"Chỉ nên ủ hạt nứt nanh là tiến hành đem gieo, vì nếu để rễ mầm quá dài khi thao tác rất dễ gẫy, mà rễ mầm có vai trò hết sức quan trọng đối với năng suất của cây ngô.","Chi waê u geêr lech nanh la cheêp naêm pôtaêm, yua tôêng söê rieâÊh boâp pôgloh ñuoâÊi jônang pôm pôgloh tôköê, maê rieâÊh boâp ôêi tôdrong pôgloh adriêng thu ‘yoêk ñôêng ‘long hôbo"
Kỹ thuật làm đất,Kô kach pôm the
"Đối với gieo hạt trực tiếp: Sau khi thu hoạch lúa, cày lật đất để tạo luống rộng khoảng 1,2 m, rãnh rộng 30-40 cm, sâu 20-25 cm.","Adriêng jul adreâÊch trök tieâÊp: Ñôêng roêng thu ‘yoêk ‘ba, kaêi laât teh söê pôm luoâÊng saê khoang minh pheêi ‘baêl met, ranh saê peâng jiêt truh puoân jiêt centimet, jôruê ‘baêl jiêt truh ‘baêl jiêt pôñaêm centimet"
"Dùng cuốc rạch hàng ngang trên mặt luống sâu 2-3 cm, hàng cách hàng 30 cm.","‘Yok kuoâk rach hang ngang lôêm maêt luoâÊng jôruê ‘baêl truh peâng centimet, hang kach hang peâng jiêt centimet"
"Đối với trồng bằng bầu ươm: Nếu bề mặt ruộng còn bằng phẳng, không bị phá kết cấu, tưới tiêu chủ động, cắt sát gốc rạ, phủ rạ lên bề mặt ruộng.","Adriêng pôtaêm ñôêng ‘bôu öôm: Tôêng trong maêt bal araê tômaên, biê ‘bi phaê keâÊt kôêu, chruh ñak chu ñoâng, kaêt jeâÊ tôm hôhnong, athu chôhnong kôpöng maêt bal"
"Không cần tạo các rãnh thoát nước, sử dụng hệ thống tiêu thoát nước như sản xuất lúa.","Biê waê pôm rim trong thoat ñak, chaê yuoâ heâ thoâÊng tieâu thoat ñak in choh jang ‘ba"
"Sử dụng cuốc, các dụng cụ chuyên dùng khác để tạo hốc đặt bầu theo kiểu nanh sấu, tạo luống đơn hoặc luống đôi","Chaê yuoâ kuoâk, rim juêng kuê chueân juêng nai söê pôm troâm söê ‘bôu ‘boi kô kach kônieâng saâÊu, pôm luoâÊng ñôn thoi luoâÊng ñoâi"
"Luống đôi nên có bề rộng 90-120 cm và trồng 2 hàng ngô với khoảng cách 50-60 cm, bầu cách bầu 25-30cm. ","LuoâÊng ñoâi waê ôêi tôdrong saê tôxiênh jiêt truh minh hrieâng ‘baêl jiêt centimet oeêng pôtaêm ‘baêl hang hôbo adriêng khoang kach pôñaêm jiêt truh drôêu jiêt centimet, ‘bôu kach ‘bôu ‘baêl jiêt pôñaêm truh peâng jiêt centimet"
"Khi bề mặt ruộng không bằng phẳng cần phải có biện pháp làm phẳng bề mặt ruộng, tạo điều kiện thuận lợi cho tiêu thoát nước. ","Jônang ‘beâ maêt bal biê tômaên waê ôêi tôdrong pôm tômaên ‘beâ maêt bal, pôm tôdrong alöng aên tieâu thoat ñak"
Với ruộng không chủ động tưới tiêu thì cứ 5-7 hàng tạo 1 rãnh thoát nước.,Adriêng bal biê chu ñoâng chruh ñak thi köê pôñaêm truh tôpôêh hang pôm minh trong thoat ñak
Kỹ thuật làm bầu ngô,Kô kach pôm ‘bôu hôbo
Nguyên vật liệu cần cho 1 ha là bùn ao và 1.000 kg phân chuồng hoai mục hoặc 250 kg phân hữu cơ vi sinh.,Ñoâ waê aên minh hecta la troâk ao oeêng minh ôbôêu kiloâgam phôêng chuoâng hoai buk thoi ‘baêl hrieâng pôñaêm jiêt kiloâgam phôêng höu kô vi sinh
"Cách làm: Trộn bùn với trấu xay, phân chuồng hoai mục theo tỷ lệ 1:1. San phẳng lớp bùn trên nền đất cứng đã được rắc trấu hoặc lót lá chuối, độ dày lớp bùn từ 5-7cm","Kach pôm: Jrôêu troâk adriêng hnuh xay, phôêng chuoâng hoai buk ‘boi ty leâ minh:minh. Pôm tômaên lôêp troâk lôêm neân teh kheêng jôh ñei raêk hnuh thoi lot hla pit, ñoâ hô‘bôl lôêp troâk ñôêng pôñaêm truh tôpôêh centimet"
"Khi mặt đất bầu se lại, dùng que rạch theo kích thước định trước sau lấy ngón tay trỏ chọc 1 lỗ giữa bầu, đặt hạt giống đã ủ nứt nhanh đảm bảo mầm hạt hướng lên trên và phủ kín hạt bằng một lớp đất bột nhỏ, đất cát hoặc trấu.","Jônang maêt teh ‘bôu srieâng, ‘yoêk ‘long kaêt ‘boi kiêch thöôÊk ñinh adrol ñôêng roêng ‘noh ‘yoêk ti taêm minh troâm tôêk pôêk ‘bôu, söê geêr adreâÊch jôh u leêch ranh tômaên tôl boâp geêr höôêng kôpöng oeêng athu geêr ñôêng minh lôêp teh ‘boât ken, teh chuêah thoi hnuh "
"Thường xuyên tưới đủ ẩm, khi mưa to phải che đậy, thời gian cây sống trong bầu tốt nhất là 5 – 7 ngày, tối đa không quá 10 ngày, nếu thời gian cây ngô ở trong bầu dài hơn cần phải tưới bổ sung dinh dưỡng cho cây bằng NPK pha loãng.","Deêch chruh duh lôngôp, jônang ami groâng phai athu, jônang ‘long yaêl arih lôêm ‘bôu hôgeêi pôgloh la pôñaêm truh tôpôêh ‘naêr, pôgloh ‘bi loi minh jiêt ‘naêr, tôêng jônang ‘long hôbo oei lôêm ‘bôu ñunh loi waê chruh tôguêm yinh yöông aên ‘long ñôêng NPK pha loang"
Kỹ thuật trồng,Kô kach pôtaêm
"Trồng với mật độ 57.000-61.000 cây/ha, khoảng cách hàng cách hàng 65cm, cây cách cây 25-30cm.","Pôtaêm adriêng maât ñoâ pôñaêm jiêt tôpôêh ôbôu truh drôêu jiêt minh ôbôêu ‘long minh hecta, khoang kach hang kach hang drôêu jiêt pôñaêm centimet, ‘long kach ‘long ‘baêl jiêt pôñaêm truh peâng jiêt centimet"
"Đối với gieo hạt trực tiếp: Tra hạt theo các hốc trên rạch cách nhau 7-12 cm, mỗi hốc 1-2 hạt. Hoặc có thể cày một đường dọc theo luống để tạo rãnh và tra hạt dọc theo rãnh.","Adriêng jul adreâÊch tröêk tieâÊp: Jômul geêr ‘boi rim troâm lôêm rach kach adriêng tôpôêh truh minh jiêt ‘baêl centimet, minh troâm minh truh ‘baêl geêr. Thoi ôêi tôdrong kaêi minh trong yok ‘boi luoâÊng söê pôm ranh oeêng jômul yok ‘boi ranh"
Kỹ thuật đặt bầu: Đất ruộng phải đảm bảo độ ẩm từ 85-90%.,Kô kach söê ‘bôu: Teh tômaên phai tômaên tôl ñoâ lôngôp ñôêng tôhngam jiêt pôñaêm truh tôxiênh jiêt phaân traêm
"Trước khi đặt bầu bón lót 8-10 tấn phân chuồng hoai mục hoặc 2.500 kg phân hữu cơ vi sinh và 500-600 kg lân supe, nếu ruộng chua thì cần bón thêm 500 kg vôi bột.","Adrol jônang söê ‘bôu ‘boên lot tôhngam truh minh jiêt taâÊn phôêng chuoâng hoai buk thoi ‘baêl ôbôêu pôñaêm hrieâng kiloâgam phôêng höu kô vi sinh oeêng pôñaêm hrieâng truh drôêu hrieâng kiloâgam laân supe, tôêng tômaên ‘nhuê waê ‘boên pieâu pôñaêm hrieâng kiloâgam sra ‘boât"
"Đặt bầu ngô theo hướng lá xòe ra 2 bên hàng và vuông góc với chiều dài luống, trồng ra ruộng khi ngô đạt 2-3 lá thật.","Söê ‘bôu hôbo ‘boi höôêng hla xoe leêch ‘baêl pah hang oeêng vuoâng goêk adriêng trong ñuoâÊi luoâÊng, pôtaêm leêch tômaên jônang hôbo ñat ‘baêl truh peâng hla tôpaê"
Kỹ thuật bón phân kết hợp chăm sóc,Kô kach ‘boên phôêng adriêng tôdrong tôme rong
Lượng phân bón/ha: 8-10 tấn phân chuồng hoai mục hoặc 2.500 kg phân + 600 kg lân supe + 420-450 kg đạm ure + 180-200 kg kaliclorua + 500 kg vôi bột.,Löông phôêng ‘boên lôêm minh hecta: Tôhngam truh minh jiêt taâÊn phôêng chuoâng hoai buk thoi ‘baêl ôbôêu pôñaêm hrieâng kiloâgam phôêng koâng drôêu hrieâng kiloâgam laân supe koâng puoân hrieâng ‘baêl jiêt truh puoân hrieâng pôñaêm jiêt kiloâgam ñam ure koâng minh hrieâng tôhngam jiêt truh ‘baêl hrieâng kiloâgam kaliclorua koâng pôñaêm hrieâng sra ‘boât
"Bón lót trước khi trồng: Bón toàn bộ phân chuồng, lân và vôi bột.","‘Boên lot adrol jônang pôtaêm: ‘Boên ñiê phôêng chuoâng, laân oeêng sra ‘boât"
"Bón thúc lần 1: Khi ngô bén rễ, hồi xanh (từ 3-5 ngày sau khi đưa bầu ra ruộng)","Boên thuêk maêng maê minh: Jônang hôbo leêch rieâÊh, hoâi kseê (ñôêng peâng truh pôñaêm ‘naêr ñôêng roêng jônang aên ‘bôu leêch bal)"
"Bón cách gốc 10 cm với lượng 140-150 kg đạm urê + 60-65 kg kali clorua, kết hợp với tưới nước","‘Boên kach tôêm minh jiêt centimet adriêng löông minh hrieâng puoân jiêt truh minh hrieâng pôñaêm jiêt kiloâgam ñam ureâ koâng drôêu jiêt truh drôêu jiêt pôñaêm kiloâgam kali clorua, keâÊt hôêp adriêng chruh ñak"
"Hoặc có thể hòa tan đạm, kali với nước để tưới kết hợp với vun vừa và làm cỏ. ","Thoi ôêi tôdrong hoa tan ñam, kali adriêng ñak söê chruh keâÊt hôêp adriêng khul tôm oeêng pôm nhaêt"
"Bón thúc lần 2: Khi ngô được 5-6 lá, bón với lượng 140-150 kg đạm urê + 60-65 kg kali clorua, kết hợp với tưới nước, làm cỏ và vun cao. ","‘Boên thuk maêng maê ‘baêl: Jônang hôbo ñei pôñaêm truh drôêu hla, ‘boên adriêng löông minh hrieâng puoân jiêt truh minh hrieâng pôñaêm jiêt kiloâgam ñam ureâ koâng drôêu jiêt truh drôêu jiêt pôñaêm kiloâgam kali clorua, keâÊt hôêp adriêng chruh ñak, pôm nhaêt oeêng khul ñuoâÊi"
"Bón thúc lần 3: Khi ngô được 10-11 lá, bón với lượng 140-150 kg đạm urê + 60-70 kg kali clorua, kết hợp với tưới nước, làm cỏ và vun cao để hạn chế đổ ngã.","‘Boên thuêk maêng maê peâng: Jônang hôbo ñei minh jiêt truh minh jiêt minh hla, ‘boên adriêng löông minh hrieâng puoân jiêt truh minh hrieâng pôñaêm jiêt kiloâgam ñam ureâ koâng drôêu jiêt truh tôpôêh jiêt kiloâgam kali clorua, keâÊt hôêp adriêng chruh ñak, pôm nhaêt oeêng khul ñuoâÊi söê han cheâ ‘long paêk"
Độ ẩm đất thích hợp đối với ngô là 70-80%. Khi đất khô nếu không mưa thì phải tưới nước cho ngô.,Ñoâ lôngôp trô troê adriêng hôbo la tôpôêh jiêt truh tôhngam jiêt phaân traêm. Jônang teh khoâ tôêng biê ami thi phai chruh ñak aên hôbo
