Tiếng Việt,Tiếng BaNa
"Sáng ngày 24.12, UBND huyện Vĩnh Thạnh tổ chức hội thi Truyền thông giảm nghèo năm 2019 với chủ đề “Chung tay thực hiện Chương trình mục tiêu Quốc gia giảm nghèo bền vững”. ","Bôgheâ naêr 24/12, UBND huyeân Vinh Thanh pôlok maêng tôjroh Truyeân thoâng tôjul dônuh sônaêm 2019 adring tôdrong Adring ti pôm Chöông trinh muk tieâu kôpal the ñak tôjul dônuh kôjaêp"
"Hội thi có sự tham gia của 9 đội đến từ các xã, thị trấn trong huyện.","Maêng tôjroh ôi tôdrong adring pôm ñông 9 ñoâi truh ñông rim xa, thi traân lôm huyeân. "
Các đội lần lượt trải qua hai phần thi bắt buộc gồm phần thi chào hỏi và phần thi kiến thức. ,Rim ñoâi naêm qua 02 phaân tôjroh baêt buoâc thoi le: phaân tôjroh chao hoi oeng phaân thi tôdrong baêt. 
"Nội dung tập trung vào việc thực hiện tuyên truyền chủ trương, đường lối của Đảng, chính sách pháp luật của Nhà nước liên quan đến lĩnh vực nông nghiệp, nông dân, nông thôn, đặc biệt là các chính sách đối với hộ nghèo, cận nghèo và hộ mới thoát nghèo. ","Noâi dung pônhoâm tômöt tôdrong pôtho khan tôdrong ñông Ñang oeng kôpal lieân kuan truh tôdrong noâng nghieâp, noâng daân, cham pôlei, pôgloh la rim tôdrong adring unh hnam dônuh, unh hnam jeâ dônuh oeng unh hnam anao ñi dônuh. "
"Tuyên truyền những tiến bộ KHKT trong trồng trọt, chăn nuôi; những kinh nghiệm trong sản xuất, kinh doanh vươn lên thoát nghèo và làm giàu chính đáng của các tàng lớp nhân dân.","Pôtho khan rim tôdrong KHKT lôm pôtaêm long, kia rong, rim kinh nghieâm lôm choh jang, tech bôdro kjung ñi dônuh oeng pôm bôdrong trô tro ñông naê ma kon tôring."
"Trải qua hai phần thi, kết quả Ban tổ chức đã trao Giải Nhất toàn đoàn cho đơn vị xã Vĩnh Quang; giải Nhì thuộc về thị trấn Vĩnh Thạnh và xã Vĩnh Kim, giải Ba được trao cho 3 đơn vị là xã Vĩnh Sơn, Vĩnh Hòa và Vĩnh Thuận.","Qua 02 phaân tôjroh, thu yok Khul pôlok jôh aên giai nhaât toan ñoan aên ñôn vi xa Vinh Quang; Giai nhi aên thi traân Vinh Thanh oeng xa Vinh Kim; giai peâng ñei aên 3 ñôn vi la xa Vinh Sôn, Vinh Hoa oeng Vinh Thuaân."
"Qua Hội thi, giúp nâng cao nhận thức của cán bộ, các tầng lớp nhân dân trong việc thực hiện chủ trương, đường lối của Đảng và chính sách, pháp luật của Nhà nước về công tác giảm nghèo nhanh và bền vững. ","Qua maêng tôjroh, sö tôgum poâk xuon tôdrong baêt ñông kang boâ, rim naê ma kon tôring lôm tôdrong pôm rim tôdrong ñông Ñang oeng kôpal lôm tôdrong tôjul dônuh ranh oeng kôjaêp. "
"Huy động sự tham gia của cộng đồng và nguồn lực thực hiện mục tiêu giảm nghèo, góp phần thực hiện thắng lợi mục tiêu, nhiệm vụ về giảm nghèo bền vững năm 2019 và giai đoạn 2016-2020."," Krao tôdrong adring pôm ñông naê ma cham pôlei oeng nguoân lök pôm muk tieâu tôjul dônuh, pôgop tôdrong pôm thaêng lôi lôm tôjul dônuh kôjaêp sônaêm 2019 oeng jônang 2016 – 2020."
"Ngày 25.12, Sở Văn hóa Thể thao phối hợp UBND huyện Vĩnh Thạnh tổ chức Chương trình giao lưu văn hóa dân tộc thiểu số và công tác gia đình năm 2019 tại Làng K8, xã Vĩnh Sơn. ","Naêr 25/12, Sô Vaên hoa theâ thao adring UBND huyeân Vinh Thanh pôlok Chöông trinh giao löu vaên hoa naê ma kon koâng oeng tôdrong unh hnam sônaêm 2019 dô no pôlei K8, xa Vinh Sôn. "
"Đến dự có đồng chí Trương Đông Hải, Phó giám đốc Sở văn hóa và thể thao tỉnh. ",Truh dö ôi ñ/c Tröông Ñoâng Hai – Pho giam ñoâc Sô vaên hoa oeng theâ thao tinh.
"Những năm qua, Làng K8, xã Vĩnh Sơn luôn chú trọng phát huy truyền thống văn hóa tốt đẹp của dân tộc Bana Kriêm trong quá trình vận động xây dựng làng văn hóa, gia đình văn hóa. ","Lö sônaêm anu yuoâ ôu, pôlei K8, xa Vinh Sôn dech ngo hnhei pôjing truyeân thoâng vaên hoa alöng lieâm ñông naê ma kon koâng lôm tôdrong krao akom tôjung pôm pôlei vaên hoa, unh hnam vaên hoa."
"Công tác xây dưng gia đình no ấm, tiến bộ, hạnh phúc luôn được Ban vận động của làng quan tâm sâu sắc và đạt được nhiều kết quả tích cực. ","Tôdrong tôjung pôm unh hnam phi to, alöng lieâm dech ñei khul krao akom ñông pôlei ngo hnhei pôgloh oeng ñat ñei lö thu yok pôjaêng. "
"Xuất hiện nhiều cá nhân, gia đình văn hóa Bana Kriêm đạt thành tích cao trong lao động sản xuất và phát triển kinh tế xã hội ở địa phương… trở thành điển hình tiêu biểu của đồng bào dân tộc thiểu số trên địa bàn tỉnh."," Boh lech lö kôdih ôkôu, unh hnam vaên hoa Bôh naêr Krieâm ñat thu yok ñuoâi lôm pôm choh jang oeng pôjing kinh teâ xa hoâi oei cham pôlei… ñei ngo la ñieân hinh pôgloh lôm naê ma cham pôlei lôm tôring tinh."
Chương trình giao lưu văn hóa dân tộc thiểu số và công tác gia đình năm 2019 lần này nhằm mục đích nâng cao nhận thức cho các tầng lớp nhân dân tham gia xây dựng và phát triển văn hóa các dân tộc thiểu số; ,Chöông trinh giao löu vaên hoa naê ma kon koâng oeng tôdrong unh hnam sônaêm 2019 maêng maê anu sö tôdrong poâk xuoân tôdrong baêt aên naê ma kon pôlei adring pôm oeng pôjing vaên hoa rim naê ma kon koâng; 
"Bảo vệ và phát huy các giá trị văn hóa truyền thống tốt đẹp ở địa phương; đồng thời tạo sự chuyển biến mạnh mẽ trong nhận thức về xây dựng gia đình no ấm, tiến bộ, hạnh phúc; phòng chống bạo lực gia đình; bài trừ hủ tục lạc hậu, góp phần tích cực trong phong trào xây dựng gia đình văn hóa, làng văn hoá.","Jö vei oeng pôjing rim giaê tri vaên hoa ñông sô alöng lieâm oei cham pôlei; toi noh pôm tôdrong tôplih pôjaêng lôm tôdrong baêt lôm tôjung pôm unh hnam phi to, alöng lieâm; phong dôt bao lök unh hnam; tuk rim tôdrong lac haâu, pôgop tôdrong pôjaêng lôm trong glong tôjung pôm unh hnam vaên hoa, pôlei vaên hoa."
"Đây là một trong những hoạt động có ý nghĩa thiết thực trong việc bảo tồn và phát huy văn hóa dân tộc, góp phần thực hiện có hiệu quả Nghị quyết 33 (khóa XI) của Đảng về xây dựng và phát triển văn hóa, con người Việt Nam đáp ứng yêu cầu phát triển bền vững đất nước.","Anu la minh lôm lö tôdrong pôm ôi y nghia tôpaê lôm tôdrong jö vei oeng pôjing vaên hoa kon koâng, pôgop tôdrong pôm ôi thu yok Nghi quyeâ 33 (khoa XI) ñông Ñang lôm tôjung pôm oeng pôjing vaên hoa, bôngai Vieât Nam tgum tôdrong kô waê pôjing kôjaêp the ñak"
"Dịp này, lãnh đạo Sở văn hóa và thể thao cũng đã đi thăm và tặng quà cho 3 gia đình người có uy tín trong đồng bào dân tộc thiểu số của Làng K8, xã Vĩnh Sơn.","Maêng maê anu, pôgôl Sô vaên hoa oeng theâ thao tinh kung jôh naêm tômang oeng taêng qua aên 03 kraê pôlei, bôngai ñei naê ma gôneh gô nôm lôm cham pôlei ñông pôlei K8, xa Vinh Sôn."
"Nhân dịp Tết Nguyên đán Canh Tý năm 2020, Ban Quản lý dự án đầu tư xây dựng huyện Vĩnh Thạnh tổ chức Chương trình cung ứng hàng hóa dịp Tết Nguyên đán năm 2020 phục vụ cho người dân đồng bào miền núi thuộc các xã Vĩnh Sơn, Vĩnh Kim, Vĩnh Hòa huyện Vĩnh Thạnh và xã Vĩnh An, huyện Tây Sơn","Thoi maêng Teât nguyeân ñan Canh ty sônaêm 2020, Khul ngoê hnhei dö an tôguêm tôjung pôm huyeân Vinh Thanh pôloêk tôdrong tôguêm hang hoa Teât nguyeân ñan sônaêm 2020 tôguêm aên naê ma kon koâng apung koâng oei rim xa Vinh Sôn, Vinh Kim, Vinh Hoa huyeân Vinh Thanh oeêng xa Vinh An, huyeân Taây Sôn"
"Theo đó, tại xã Vĩnh Sơn sẽ tổ chức phục vụ bán hàng tại 4 điểm gồm: Làng K2; K4; K8 và Làng K8 và Suối Cát","‘Boi ‘noh, dônoê xa Vinh Sôn pôloêk tôguêm teêch ñoâ lôêm 4 dônoê in: pôlei K2; K4; K8 oeêng pôlei Ñak Xung"
Tại xã Vĩnh Kim cũng sẽ tổ chức phục vụ bán hàng tại 4 điểm gồm: Làng K6; Làng 05 và Kon Trú; Làng 03 và ĐăkTra; Làng 02,Dônoê xa Vinh Kim kung ôêi pôloêk tôgum teêch ñoâ lôêm 4 dônoê in: pôlei K6; pôlei O5 oeêng Kon Tru; Pôlei O3 oeêng Ñak Tra; pôlei O2
Thời gian triển khai từ ngày 5.1.2020 đến ngày 18.1.2020,Jônang pônhroh ñôêng ‘naêr 05/01/2020 truh ‘naêr 18/01/2020
"Tại xã Vĩnh Hòa sẽ bán phục vụ nhân dân tại Cửa hàng Trung tâm cụm xã Vĩnh Hòa, trong thời gian từ ngày 9.1.2020 đến ngày 22.1.2020","Dônoê xa Vinh Hoa teêch tôguêm naê ma lôêm Cöa hang trung taâm cuêm xa Vinh Hoa, lôêm jônang ñôêng ‘naêr 09/01/2020 truh ‘naêr 22/01/2020"
"Tại xã Vĩnh An, huyện Tây Sơn sẽ bán phục vụ nhân dân tại Cửa hàng Trung tâm cụm xã Vĩnh An, huyện Tây Sơn, sẽ phục vụ thường xuyên, liên tục trước, trong và sau tết","Dônoê xa Vinh An, huyeân Taây Sôn teêch tôguêm kon tôring dônoê Cöa hang trung taâm xa Vinh An, huyeân Taây Sôn oeêng tôguêm deêch adrol, lôêm oeêng ñôêng roêng teât"
"Được biết, Ban Quản lý dự án đầu tư xây dựng huyện sẽ thành lập nhiều đoàn bán hàng tại các điểm bán hàng phục vụ người dân tại các xã miền núi, giá bán hàng hóa phục vụ Tết bằng giá thị trường và được niêm yết cụ thể tại các điểm bán hàng","Ñei aleâÊ, Khul ngoê hnhei dö an tôguêm tôjung pôm huyeân pôjing anao lö kôtum teêch ñoâ lôêm rim dônoê teêch ñoâ tôguêm naê ma lôêm rim xa apung koâng; giaê teêch ñoâ tôguêm Teât dang giaê thi tröông oeêng ñei nieâm yeât cu theâ lôêm rim dônoê teêch ñoâ"
"Sáng ngày 28.7, UBND huyện Vĩnh Thạnh tổ chức Lễ phát động toàn dân tập luyện môn bơi, phòng chống đuối nước năm 2019","Bôgheâ ‘naêr 28/7, UBND huyeân Vinh Thanh pôloêk Leâ phat ñoâng ñiê ñaêng naê ma pôtôêp klôi, phong dôt puêk ñak sônaêm 2019"
"Dự Lễ phát động có Đ/c Đinh Đrin, Phó Bí thư thường trực Huyện ủy, Chủ tịch HĐND huyện; ông Huỳnh Đức Bảo, Phó Chủ tịch UBND huyện","Dö leâ ôêi ñ/c Ñinh Ñrin, Phoê ‘biê thö thöông tröêk Huyeân uy, Chu tich HÑND huyeân; ‘boêk Huynh Ñöc Bao, Phoê chuû tich UBND huyeân"
"Lễ phát động còn thu hút nhiều cán bộ CNVC, lực lượng đoàn viên thanh niên và người dân trên địa bàn huyện tham dự","Maêmg phat ñoâng araê pônhoâm lö kang boâ, CNVC, löêk löông ñe adruh tôdaêm oeêng naê ma lôêm tôring huyeân"
"Vĩnh Thạnh là huyện miền núi, có nhiều ao, hồ, sông, suối nên tiềm ẩn nguy cơ xảy ra đuối nước là rất cao","Vinh Thanh la huyeân apung koâng, ôêi lö ‘baêu, kloêng, ñak krong, ñak sôñieâng kôna tôdrong ôêi leêch puêk ñak la pôgloh"
"Đuối nước không những cướp đi sự sống, mà còn để lại những nỗi đau không nguôi cho nhiều gia đình và xã hội",Puêk ñak biê pôm hiong hiôt bôngai maê araê söê aên lö tôdrong biê alöng aên lö uênh hnam oeêng xa hoâi
"Tại huyện Vĩnh Thạnh, tình trạng đuối nước trên địa bàn huyện vẫn còn diễn ra và gần như năm nào cũng có người chết do đuối nước, nhất là trẻ em","Lôêm huyeân Vinh Thanh, tôdrong puêk ñak lôêm tôring huyeân araê ôêi ‘boh oeêng waê in sônaêm maê nhö kung ôêi bôngai luoâÊch yua puêk ñak, pôgloh la ñe hôyoh"
"Tại Lễ phát động, ông Huỳnh Đức Bảo, Phó Chủ tịch UBND huyện yêu cầu các cấp ủy đảng, chính quyền, các hội đoàn thể, nhà trường, gia đình và toàn thể xã hội cần đẩy mạnh thông tin tuyên truyền nhằm nâng cao nhận thức về phòng, chống đuối nước, nhất là đối với trẻ em","Dônoê maêng phat ñoâng, ‘boêk Huynh Ñöc Bao, Phoê chu tich UBND huyeân pôkaê rim kôêp uy ñang, khul pôgôl, rim hoâi, ñoan theâ, hnam tröông, uênh hnam oeêng ñiê ñaêng xa hoâi waê jôraê deâh tôdrong pôtho khan söê poâk xuoân tôdrong baêt lôêm phong dôt puêk ñak, pôgloh la ñe hôyoh"
"Phổ cập bơi và các kiến thức, kỹ năng phòng, chống đuối nước; có biện pháp bảo vệ, cảnh báo những nơi có ao, hồ, giếng nước, bể nước hoặc những nơi có nước sâu","Pôtôêp klôi oeêng rim tôdrong baêt, kô kach phong dôt puêk ñak, ôêi tôdrong jö vei, pôtho khan rim dônoê ôêi kloêng, ‘baêu, jieâÊng ñak, beâ ñak thoi rim dônoê ôêi ñak jôruê"
"Đưa các nội dung phòng chống đuối nước vào chương trình giáo dục trong trường học, đặc biệt là triển khai sâu rộng các hoạt động dạy bơi, kỹ năng phòng, chống đuối nước","AÊn rim tôdrong phong dôt puêk ñak tômöt tôdrong pôtôêp lôêm hnam tröông, pôgloh la pônhroh saê rim tôdrong pôtôêp klôi, kô kach phong dôt puêk ñak"
"Để giảm thiểu tình trạng đuối nước, nhất là trẻ em đuối nước, việc phổ cập bơi và các kiến thức, kỹ năng phòng, chống đuối nước cho trẻ em là giải pháp hết sức cấp thiết","Söê tôjul tôdrong puêk ñak, pôgloh la ñe hôyoh puêk ñak, tôdrong pôtôêp klôi oeêng rim tôdrong baêt, kô kach phong dôt puêk ñak aên ñe hôyoh la tôdrong pôgloh"
"Đây là trách nhiệm của các cấp, các ngành, gia đình, nhà trường và toàn xã hội","Anu la tôdrong pôm ñôêng rim kôêp, rim nganh, uênh hnam, hnam tröông oeêng ñiê ñaêng xa hoâi"
"Nhằm góp phần thực hiện môi trường an toàn, nói không với vấn nạn đuối nước trên địa bàn huyện","Söê pôgoêp tôdrong pôm moâi tröông an toan, khan biê adriêng tôdrong puêk ñak lôêm tôring huyeân"
"Ngay sau Lễ phát động, lực lượng đoàn viên thanh niên đã tổ chức ra quân đi tuyên truyền, diễu hành trên các tuyến đường chính trong huyện, để hưởng ứng phong trào toàn dân tập luyện môn bơi, phòng chống đuối nước năm 2019 trên địa bàn huyện","Ñôêng roêng maêng phat ñoâng, löêk löông ñe adruh tôdaêm jôh pôloêk leêch kuaân naêm pôtho khan, dieâu hanh lôêm rim tuyeâÊn trong chiênh lôêm huyeân söê höông öng trong glong ñiêê ñaêng naê ma pôtôêp klôi, phong dôt puêk ñak sônaêm 2019 lôêm tôring huyeân"
"Tham gia Liên hoan văn hóa cồng chiêng các dân tộc thiểu số tỉnh Bình Ðịnh lần thứ I - năm 2019 sẽ có 9 đoàn nghệ nhân, diễn viên đến từ các huyện miền núi, trung du trong tỉnh","Tham gia lieân hoan vaên hoa ching phoâng rim naê ma kon koâng tinh Binh Ñinh maêng maê I sônaêm 2019 ôêi 09 ñoan ngheâ nhaân, dieân vieân truh ñôêng rim huyeân apung koâng, trung du lôêm tinh"
"Trong đó các huyện Vĩnh Thạnh, Vân Canh, An Lão mỗi huyện có 2 đoàn, các huyện Tây Sơn, Phù Cát, Hoài Ân mỗi huyện có 1 đoàn","Lôêm ‘noh rim huyeân Vinh Thanh, Vaân Canh, An Lao minh huyeân ôêi 02 ñoan, rim huyeân Taây Sôn, Phu Cat, Hoai AÂn minh huyeân ôêi 01 ñoan"
"Tham gia Liên hoan, huyện Vĩnh Thạnh có 2 đoàn tham gia là đoàn xã Vĩnh Sơn và đoàn Trường Phổ thông dân tộc nội trú THCS & THPT Vĩnh Thạnh","Tham gia lieân hoan, huyeân Vinh Thanh ôêi 02 ñoan tham gia la khul xa Vinh Sôn oeêng khul Tröông PTDTNT THCS&THPT Vinh Thanh"
"Tại Liên hoan lần này, đội cồng chiêng của Trường Phổ thông dân tộc nội trú THCS & THPT Vĩnh Thạnh là đội trẻ nhất","Lôêm lieân hoan maêng maê anu, ñoâi ching phoâng ñôêng Tröông PTDTNT THCS&THPT Vinh Thanh la ñoâi adruh pôgloh"
"Chuẩn bị cho Liên hoan, nhà trường đã mời nghệ nhân Yang Danh và nghệ nhân Đinh Kim đến hướng dẫn luyện tập nâng cao cho các em, đây cũng là cơ hội để thắp lên niềm tự hào về văn hóa truyền thống của dân tộc các em","Goâ ñeêch aên lieân hoan, hnam tröông jôh krao ngheâ nhaân Yang Danh oeêng ngheâ nhaân Ñinh Kim truh pôtôêp söê poâk xuoân aên rim ñe hôyoh, anu kung la tôdrong söê poâk xuoân nöih sôngöm lôêm vaên hoa ñôêng kon koâng"
"Theo kế hoạch của UBND tỉnh, tổ chức Liên hoan cồng chiêng các dân tộc thiểu số tỉnh Bình Định lần thứ I - năm 2019 là nhằm góp phần bảo tồn, phát huy giá trị không gian văn hóa cồng chiêng của đồng bào","‘Boi glong pônhroh ñôêng UBND tinh, pôloêk lieân hoan ching phoâng rim naê ma kon koâng tinh Binh Ñinh maêng maê I sônaêm 2019 la pôgoêp tôdrong jö vei, pôjing giaê tri khoâng gian vaên hoa ching phoâng ñôêng naê ma"
"Đây là dịp để các nghệ nhân chia sẻ, trao đổi kinh nghiệm trong việc phục hồi, truyền dạy, phát huy nghệ thuật cồng chiêng đặc sắc của dân tộc mình; tạo không khí vui tươi đoàn kết","Anu kung la maêng söê rim ngheâ nhaân asong, trao ñoâi kinh nghieâm lôêm tôdrong phuêk hoâi, pôtôêp, pôjing tôdrong ching phoâng ñôêng kon koâng bôên, pôm tôdrong ñoan keât alöng lieâm"
"Thời gian qua, UBND huyện chỉ đạo các cơ quan, đơn vị địa phương phối hợp với các hội đoàn thể tiếp tục thực hiện Quyết định số 160/QĐ-UBND ngày 08/02/2018 của UBND huyện về ban hành Kế hoạch “Đẩy mạnh công tác phổ biến, giáo dục pháp luật, vận động đồng bào vùng DTTS và miền núi” giai đoạn 2017 - 2021 trên địa bàn","Jônang anu yuoâ ôêu, UBND huyeân pôgôl rim kô kuan, ñôn vi cham pôlei adriêng rim hoâi, ñoan theâ ling lang pôm Quyeât ñinh ksoÊâ 160/QÑ-UBND ‘naêr 08/02/2018 ñôêng UBND huyeân lôêm aên leêch glong pônhroh “Jôraê deâh tôdrong pôtho khan phap luaât, krao akoêm naê ma kon koâng” jônang 2017 – 2021 lôêm tôring"
"Trong đó có các mục tiêu, giải pháp cụ thể nhằm cung cấp thông tin kịp thời, chính xác, dễ đọc, dễ nghe, thực hiện những nội dung cơ bản để đồng bào DTTS và miền núi từng bước nâng cao nhận thức, chấp hành nghiêm pháp luật, tin tưởng vào sự lãnh đạo của Đảng, sự quản lý điều hành của Nhà nước, giúp bà con yên tâm lao động sản xuất, phát triển kinh tế - xã hội ở địa phương","Lôêm ‘noh ôêi rim tôdrong cu theâ söê tôguêm thoâng tin tôtam, trô troê, hlaêu ñoêk, hlaêu kôpaêng, pôm rim tôdrong kô ‘ban söê naê ma kon koâng rim tôdrong poâk xuoân tôdrong baêt, pôm trô troê phap luaât, lui tôpaê tômöt tôdrong pôgôl ñôêng Ñang, tôdrong ngoê hnhei pôgôl ñôêng kôpal, tôguêm naê ma alöng pôm choh jang, pôjing kinh teâ xa hoâi oei cham pôlei"
"Đồng thời, tham gia đầy đủ các Hội nghị tuyên truyền, phổ biến giáo dục pháp luật tại các thôn, làng đồng bào DTTS trên địa bàn huyện","Thoi ‘noh, adriêng pôm duh rim Hoâi nghi pôtho khan phap luaât oei rim thoân, pôlei naê ma kon koâng lôêm tôring huyeân"
"Hôm nay, hơn 7 nghìn học sinh của huyện vùng cao Vĩnh Thạnh đến trường dự lễ khai giảng năm học 2019-2020","Ahreêi, loi 07 ôbôêu hoêk sinh ñôêng huyeân apung koâng Vinh Thanh truh tröông dö maêng khai giang sônaêm hoêk anao sônaêm 2019 – 2020"
"Thầy trò và các phụ huynh cùng hân hoan chờ đón một lễ khai giảng thiết thực, đúng ý nghĩa và mang lại niềm vui cho học sinh","Bôngai pôtôêp pôtho oeêng rim miê ‘baê adriêng höch hanh goâ minh leâ khai giang tôpaê, troê yê nghia oeêng cheêp aên tôdrong höch hanh aên hoêk sinh"
"Ngày đầu tiên bước vào Trường PTDTNT THCS&THPT Vĩnh Thạnh, em Đinh Thị Thúy Hằng, ở làng Klot Pok, thị trấn Vĩnh Thạnh khá bỡ ngỡ","‘Naêr pôtôm naêm tômöt Tröông PTDTNT THCS&THPT Vinh Thanh, oh Ñinh Thi Thuy Haêng, oei pôlei Klot Pok, thi traân Vinh Thanh khaê môlôêu"
"Trường mới, bạn bè mới, thầy cô mới","Tröông anao, ‘ban ‘be anao, bôngai pôtôêp pôtho anao"
"Được cô giáo chủ nhiệm đón ở khu nội trú, chỉ cho chỗ ở và hướng dẫn nội quy trường lớp mới, Hằng trở nên tự tin, vui vẻ hơn trong môi trường học tập mới","Ñei coâ chu nhieâm goâ oei khu noâi tru, pôchi aên dônoê oei oeêng pôtho khan noâi quy tröông lôp anao, Haêng jôh tö tin oeêng höch hanh loi lôêm moâi tröông hoêk tôp anao"
Em Đinh Thị Thúy Hằng bày tỏ cảm xúc của mình như thế này,Oh Ñinh Thi Thuy Haêng pôñam ‘bôl nöih sôngöm ñôn bôên in ôêu
"Đón học sinh vào năm học mới, hướng dẫn cho các em học sinh mới vào trường trong nhiều năm học qua luôn được nhà trường chú trọng","Yoêk hoêk sinh tômöt sônaêm anao, pôtho khan aên rim ñe oh hoêk sinh anao tômöt tröông lôêm lö sônaêm hoêk dach ñei hnam tröông ngoê hnhei"
