"STT","Tỉnh Thành","Quận Huyện"
"44","Hồ Chí Minh","Quận Gò Vấp"
"45","Hồ Chí Minh","Quận Phú Nhuận"
"46","Hồ Chí Minh","Quận Tân Bình"
"47","Hồ Chí Minh","Quận Tân Phú"
"48","Hồ Chí Minh","Huyện Bình Chánh"
"49","Hồ Chí Minh","Huyện Cần Giờ"
"50","Hồ Chí Minh","Huyện Củ Chi"
"51","Hồ Chí Minh","Huyện Hóc Môn"
"52","Hồ Chí Minh","Huyện Nhà Bè"
"53","Đà Nẵng","Quận Cẩm Lệ"
"54","Đà Nẵng","Quận Hải Châu"
"55","Đà Nẵng","Quận Liên Chiểu"
"56","Đà Nẵng","Quận Ngũ Hành Sơn"
"57","Đà Nẵng","Quận Sơn Trà"
"58","Đà Nẵng","Quận Thanh Khê"
"59","Đà Nẵng","Huyện Hòa Vang"
"60","Đà Nẵng","Huyện Hoàng Sa"
"61","Cần Thơ","Quận Bình Thủy"
"62","Cần Thơ","Quận Cái Răng"
"63","Cần Thơ","Quận Ninh Kiều"
"64","Cần Thơ","Quận Ô Môn"
"65","Cần Thơ","Quận Thốt Nốt"
"66","Cần Thơ","Huyện Cờ Đỏ"
"67","Cần Thơ","Huyện Phong Điền"
"68","Cần Thơ","Huyện Thới Lai"
"69","Cần Thơ","Huyện Vĩnh Thạnh"
"70","Hải Phòng","Quận Đồ Sơn"
"71","Hải Phòng","Quận Dương Kinh"
"72","Hải Phòng","Quận Hải An"
"73","Hải Phòng","Quận Hồng Bàng"
"74","Hải Phòng","Quận Kiến An"
"75","Hải Phòng","Quận Lê Chân"
"76","Hải Phòng","Quận Ngô Quyền"
"77","Hải Phòng","Huyện An Dương"
"78","Hải Phòng","Huyện An Lão"
"79","Hải Phòng","Huyện Bạch Long Vĩ"
"80","Hải Phòng","Huyện Cát Hải"
"81","Hải Phòng","Huyện Kiến Thụy"
"82","Hải Phòng","Huyện Thủy Nguyên"
"83","Hải Phòng","Huyện Tiên Lãng"
"84","Hải Phòng","Huyện Vĩnh Bảo"
"85","An Giang","Thành phố Long Xuyên (tỉnh lỵ)"
"86","An Giang","Thành phố Châu Đốc"
"87","An Giang","Thị xã Tân Châu"
"88","An Giang","Huyện An Phú"
"89","An Giang","Huyện Châu Phú"
"90","An Giang","Huyện Châu Thành"
"91","An Giang","Huyện Chợ Mới"
"92","An Giang","Huyện Phú Tân"
"93","An Giang","Huyện Thoại Sơn"
"94","An Giang","Huyện Tịnh Biên"
"95","An Giang","Huyện Tri Tôn"
"96","Bà Rịa-Vũng Tàu","Thành phố Bà Rịa (tỉnh lỵ)"
"97","Bà Rịa-Vũng Tàu","Thành phố Vũng Tàu"
"98","Bà Rịa-Vũng Tàu","Thị xã Phú Mỹ"
"99","Bà Rịa-Vũng Tàu","Huyện Châu Đức"
"100","Bà Rịa-Vũng Tàu","Huyện Côn Đảo"
"101","Bà Rịa-Vũng Tàu","Huyện Đất Đỏ"
"102","Bà Rịa-Vũng Tàu","Huyện Long Điền"
"103","Bà Rịa-Vũng Tàu","Huyện Xuyên Mộc"
"104","Bắc Giang","Thành phố Bắc Giang (tỉnh lỵ)"
"105","Bắc Giang","Huyện Hiệp Hòa"
"106","Bắc Giang","Huyện Lạng Giang"
"107","Bắc Giang","Huyện Lục Nam"
"108","Bắc Giang","Huyện Lục Ngạn"
"109","Bắc Giang","Huyện Sơn Động"
"110","Bắc Giang","Huyện Tân Yên"
"111","Bắc Giang","Huyện Việt Yên"
"112","Bắc Giang","Huyện Yên Dũng"
"113","Bắc Giang","Huyện Yên Thế"
"114","Bắc Kạn","Thành phố Bắc Kạn (tỉnh lỵ)"
"115","Bắc Kạn","Huyện Ba Bể"
"116","Bắc Kạn","Huyện Bạch Thông"
"117","Bắc Kạn","Huyện Chợ Đồn"
"118","Bắc Kạn","Huyện Chợ Mới"
"119","Bắc Kạn","Huyện Na Rì"
"120","Bắc Kạn","Huyện Ngân Sơn"
"121","Bắc Kạn","Huyện Pác Nặm"
"122","Bạc Liêu","Thành phố Bạc Liêu (tỉnh lỵ)"
"123","Bạc Liêu","Thị xã Giá Rai"
"124","Bạc Liêu","Huyện Đông Hải"
"125","Bạc Liêu","Huyện Hòa Bình"
"126","Bạc Liêu","Huyện Hồng Dân"
"127","Bạc Liêu","Huyện Phước Long"
"128","Bạc Liêu","Huyện Vĩnh Lợi"
"129","Bắc Ninh","Thành phố Bắc Ninh (tỉnh lỵ)"
"130","Bắc Ninh","Thị xã Từ Sơn"
"131","Bắc Ninh","Huyện Gia Bình"
"132","Bắc Ninh","Huyện Lương Tài"
"133","Bắc Ninh","Huyện Quế Võ"
"134","Bắc Ninh","Huyện Thuận Thành"
"135","Bắc Ninh","Huyện Tiên Du"
"136","Bắc Ninh","Huyện Yên Phong"
"137","Bến Tre","Thành phố Bến Tre (tỉnh lỵ)"
"138","Bến Tre","Huyện Ba Tri"
"139","Bến Tre","Huyện Bình Đại"
"140","Bến Tre","Huyện Châu Thành"
"141","Bến Tre","Huyện Chợ Lách"
"142","Bến Tre","Huyện Giồng Trôm"
"143","Bến Tre","Huyện Mỏ Cày Bắc"
"144","Bến Tre","Huyện Mỏ Cày Nam"
"145","Bến Tre","Huyện Thạnh Phú"
"146","Bình Định","Thành phố Quy Nhơn (tỉnh lỵ)"
"147","Bình Định","Thị xã An Nhơn"
"148","Bình Định","Thị xã Hoài Nhơn"
"149","Bình Định","Huyện An Lão"
"150","Bình Định","Huyện Hoài Ân"
"151","Bình Định","Huyện Phù Cát"
"152","Bình Định","Huyện Phù Mỹ"
"153","Bình Định","Huyện Tây Sơn"
"154","Bình Định","Huyện Tuy Phước"
"155","Bình Định","Huyện Vân Canh"
"156","Bình Định","Huyện Vĩnh Thạnh"
"157","Bình Dương","Thành phố Thủ Dầu Một (tỉnh lỵ)"
"158","Bình Dương","Thành phố Dĩ An"
"159","Bình Dương","Thành phố Thuận An"
"160","Bình Dương","Thị xã Bến Cát"
"161","Bình Dương","Thị xã Tân Uyên"
"162","Bình Dương","Huyện Bắc Tân Uyên"
"163","Bình Dương","Huyện Bàu Bàng"
"164","Bình Dương","Huyện Dầu Tiếng"
"165","Bình Dương","Huyện Phú Giáo"
"166","Bình Phước","Thành phố Đồng Xoài (tỉnh lỵ)"
"167","Bình Phước","Thị xã Bình Long"
"168","Bình Phước","Thị xã Phước Long"
"169","Bình Phước","Huyện Bù Đăng"
"170","Bình Phước","Huyện Bù Đốp"
"171","Bình Phước","Huyện Bù Gia Mập"
"172","Bình Phước","Huyện Chơn Thành"
"173","Bình Phước","Huyện Đồng Phú"
"174","Bình Phước","Huyện Hớn Quản"
"175","Bình Phước","Huyện Lộc Ninh"
"176","Bình Phước","Huyện Phú Riềng"
"177","Bình Thuận","Thành phố Phan Thiết (tỉnh lỵ)"
"178","Bình Thuận","Thị xã La Gi"
"179","Bình Thuận","Huyện Bắc Bình"
"180","Bình Thuận","Huyện Đức Linh"
"181","Bình Thuận","Huyện Hàm Tân"
"182","Bình Thuận","Huyện Hàm Thuận Bắc"
"183","Bình Thuận","Huyện Hàm Thuận Nam"
"184","Bình Thuận","Huyện Phú Quý"
"185","Bình Thuận","Huyện Tánh Linh"
"186","Bình Thuận","Huyện Tuy Phong"
"187","Cà Mau","Thành phố Cà Mau (tỉnh lỵ)"
"188","Cà Mau","Huyện Cái Nước"
"189","Cà Mau","Huyện Đầm Dơi"
"190","Cà Mau","Huyện Năm Căn"
"191","Cà Mau","Huyện Ngọc Hiển"
"192","Cà Mau","Huyện Phú Tân"
"193","Cà Mau","Huyện Thới Bình"
"194","Cà Mau","Huyện Trần Văn Thời"
"195","Cà Mau","Huyện U Minh"
"196","Cao Bằng","Thành phố Cao Bằng (tỉnh lỵ)"
"197","Cao Bằng","Huyện Bảo Lạc"
"198","Cao Bằng","Huyện Bảo Lâm"
"199","Cao Bằng","Huyện Hạ Lang"
"200","Cao Bằng","Huyện Hà Quảng"
"201","Cao Bằng","Huyện Hòa An"
"202","Cao Bằng","Huyện Nguyên Bình"
"203","Cao Bằng","Huyện Quảng Hòa"
"204","Cao Bằng","Huyện Thạch An"
"205","Cao Bằng","Huyện Trùng Khánh"
"206","Đắk Lắk","Thành phố Buôn Ma Thuột (tỉnh lỵ)"
"207","Đắk Lắk","Thị xã Buôn Hồ"
"208","Đắk Lắk","Huyện Buôn Đôn"
"209","Đắk Lắk","Huyện Cư Kuin"
"210","Đắk Lắk","Huyện Cư M'gar"
"211","Đắk Lắk","Huyện Ea H'leo"
"212","Đắk Lắk","Huyện Ea Kar"
"213","Đắk Lắk","Huyện Ea Súp"
"214","Đắk Lắk","Huyện Krông Ana"
"215","Đắk Lắk","Huyện Krông Bông"
"216","Đắk Lắk","Huyện Krông Búk"
"217","Đắk Lắk","Huyện Krông Năng"
"218","Đắk Lắk","Huyện Krông Pắk"
"219","Đắk Lắk","Huyện Lắk"
"220","Đắk Lắk","Huyện M'Drắk"
"221","Đắk Nông","Thành phố Gia Nghĩa (tỉnh lỵ)"
"222","Đắk Nông","Huyện Cư Jút"
"223","Đắk Nông","Huyện Đắk Glong"
"224","Đắk Nông","Huyện Đắk Mil"
"225","Đắk Nông","Huyện Đắk R'lấp"
"226","Đắk Nông","Huyện Đắk Song"
"227","Đắk Nông","Huyện Krông Nô"
"228","Đắk Nông","Huyện Tuy Đức"
"229","Điện Biên","Thành phố Điện Biên Phủ (tỉnh lỵ)"
"230","Điện Biên","Thị xã Mường Lay"
"231","Điện Biên","Huyện Điện Biên"
"232","Điện Biên","Huyện Điện Biên Đông"
"233","Điện Biên","Huyện Mường Ảng"
"234","Điện Biên","Huyện Mường Chà"
"235","Điện Biên","Huyện Mường Nhé"
"236","Điện Biên","Huyện Nậm Pồ"
"237","Điện Biên","Huyện Tủa Chùa"
"238","Điện Biên","Huyện Tuần Giáo"
"239","Đồng Nai","Thành phố Biên Hòa (tỉnh lỵ)"
"240","Đồng Nai","Thành phố Long Khánh"
"241","Đồng Nai","Huyện Cẩm Mỹ"
"242","Đồng Nai","Huyện Định Quán"
"243","Đồng Nai","Huyện Long Thành"
"244","Đồng Nai","Huyện Nhơn Trạch"
"245","Đồng Nai","Huyện Tân Phú"
"246","Đồng Nai","Huyện Thống Nhất"
"247","Đồng Nai","Huyện Trảng Bom"
"248","Đồng Nai","Huyện Vĩnh Cửu"
"249","Đồng Nai","Huyện Xuân Lộc"
"250","Đồng Tháp","Thành phố Cao Lãnh (tỉnh lỵ)"
"251","Đồng Tháp","Thành phố Hồng Ngự"
"252","Đồng Tháp","Thành phố Sa Đéc"
"253","Đồng Tháp","Huyện Cao Lãnh"
"254","Đồng Tháp","Huyện Châu Thành"
"255","Đồng Tháp","Huyện Hồng Ngự"
"256","Đồng Tháp","Huyện Lai Vung"
"257","Đồng Tháp","Huyện Lấp Vò"
"258","Đồng Tháp","Huyện Tam Nông"
"259","Đồng Tháp","Huyện Tân Hồng"
"260","Đồng Tháp","Huyện Thanh Bình"
"261","Đồng Tháp","Huyện Tháp Mười"
"262","Gia Lai","Thành phố Pleiku (tỉnh lỵ)"
"263","Gia Lai","Thị xã An Khê"
"264","Gia Lai","Thị xã Ayun Pa"
"265","Gia Lai","Huyện Chư Păh"
"266","Gia Lai","Huyện Chư Prông"
"267","Gia Lai","Huyện Chư Pưh"
"268","Gia Lai","Huyện Chư Sê"
"269","Gia Lai","Huyện Đak Đoa"
"270","Gia Lai","Huyện Đak Pơ"
"271","Gia Lai","Huyện Đức Cơ"
"272","Gia Lai","Huyện Ia Grai"
"273","Gia Lai","Huyện Ia Pa"
"274","Gia Lai","Huyện Kbang"
"275","Gia Lai","Huyện Kông Chro"
"276","Gia Lai","Huyện Krông Pa"
"277","Gia Lai","Huyện Mang Yang"
"278","Gia Lai","Huyện Phú Thiện"
"279","Hà Giang","Thành phố Hà Giang (tỉnh lỵ)"
"280","Hà Giang","Huyện Bắc Mê"
"281","Hà Giang","Huyện Bắc Quang"
"282","Hà Giang","Huyện Đồng Văn"
"283","Hà Giang","Huyện Hoàng Su Phì"
"284","Hà Giang","Huyện Mèo Vạc"
"285","Hà Giang","Huyện Quản Bạ"
"286","Hà Giang","Huyện Quang Bình"
"287","Hà Giang","Huyện Vị Xuyên"
"288","Hà Giang","Huyện Xín Mần"
"289","Hà Giang","Huyện Yên Minh"
"290","Hà Nam","Thành phố Phủ Lý (tỉnh lỵ)"
"291","Hà Nam","Thị xã Duy Tiên"
"292","Hà Nam","Huyện Bình Lục"
"293","Hà Nam","Huyện Kim Bảng"
"294","Hà Nam","Huyện Lý Nhân"
"295","Hà Nam","Huyện Thanh Liêm"
"296","Hà Tĩnh","Thành phố Hà Tĩnh (tỉnh lỵ)"
"297","Hà Tĩnh","Thị xã Hồng Lĩnh"
"298","Hà Tĩnh","Thị xã Kỳ Anh"
"299","Hà Tĩnh","Huyện Cẩm Xuyên"
"300","Hà Tĩnh","Huyện Can Lộc"
"301","Hà Tĩnh","Huyện Đức Thọ"
"302","Hà Tĩnh","Huyện Hương Khê"
"303","Hà Tĩnh","Huyện Hương Sơn"
"304","Hà Tĩnh","Huyện Kỳ Anh"
"305","Hà Tĩnh","Huyện Lộc Hà"
"306","Hà Tĩnh","Huyện Nghi Xuân"
"307","Hà Tĩnh","Huyện Thạch Hà"
"308","Hà Tĩnh","Huyện Vũ Quang"
"309","Hải Dương","Thành phố Hải Dương (tỉnh lỵ)"
"310","Hải Dương","Thành phố Chí Linh"
"311","Hải Dương","Thị xã Kinh Môn"
"312","Hải Dương","Huyện Bình Giang"
"313","Hải Dương","Huyện Cẩm Giàng"
"314","Hải Dương","Huyện Gia Lộc"
"315","Hải Dương","Huyện Kim Thành"
"316","Hải Dương","Huyện Nam Sách"
"317","Hải Dương","Huyện Ninh Giang"
"318","Hải Dương","Huyện Thanh Hà"
"319","Hải Dương","Huyện Thanh Miện"
"320","Hải Dương","Huyện Tứ Kỳ"
"321","Hậu Giang","Thành phố Vị Thanh (tỉnh lỵ)"
"322","Hậu Giang","Thành phố Ngã Bảy"
"323","Hậu Giang","Thị xã Long Mỹ"
"324","Hậu Giang","Huyện Châu Thành"
"325","Hậu Giang","Huyện Châu Thành A"
"326","Hậu Giang","Huyện Long Mỹ"
"327","Hậu Giang","Huyện Phụng Hiệp"
"328","Hậu Giang","Huyện Vị Thủy"
"329","Hòa Bình","Thành phố Hòa Bình (tỉnh lỵ)"
"330","Hòa Bình","Huyện Cao Phong"
"331","Hòa Bình","Huyện Đà Bắc"
"332","Hòa Bình","Huyện Kim Bôi"
"333","Hòa Bình","Huyện Lạc Sơn"
"334","Hòa Bình","Huyện Lạc Thủy"
"335","Hòa Bình","Huyện Lương Sơn"
"336","Hòa Bình","Huyện Mai Châu"
"337","Hòa Bình","Huyện Tân Lạc"
"338","Hòa Bình","Huyện Yên Thủy"
"339","Hưng Yên","Thành phố Hưng Yên (tỉnh lỵ)"
"340","Hưng Yên","Thị xã Mỹ Hào"
"341","Hưng Yên","Huyện Ân Thi"
"342","Hưng Yên","Huyện Khoái Châu"
"343","Hưng Yên","Huyện Kim Động"
"344","Hưng Yên","Huyện Phù Cừ"
"345","Hưng Yên","Huyện Tiên Lữ"
"346","Hưng Yên","Huyện Văn Giang"
"347","Hưng Yên","Huyện Văn Lâm"
"348","Hưng Yên","Huyện Yên Mỹ"
"349","Khánh Hòa","Thành phố Nha Trang (tỉnh lỵ)"
"350","Khánh Hòa","Thành phố Cam Ranh"
"351","Khánh Hòa","Thị xã Ninh Hòa"
"352","Khánh Hòa","Huyện Cam Lâm"
"353","Khánh Hòa","Huyện Diên Khánh"
"354","Khánh Hòa","Huyện Khánh Sơn"
"355","Khánh Hòa","Huyện Khánh Vĩnh"
"356","Khánh Hòa","Huyện Trường Sa"
"357","Khánh Hòa","Huyện Vạn Ninh"
"358","Kiên Giang","Thành phố Rạch Giá (tỉnh lỵ)"
"359","Kiên Giang","Thành phố Hà Tiên"
"360","Kiên Giang","Thành phố Phú Quốc"
"361","Kiên Giang","Huyện An Biên"
"362","Kiên Giang","Huyện An Minh"
"363","Kiên Giang","Huyện Châu Thành"
"364","Kiên Giang","Huyện Giang Thành"
"365","Kiên Giang","Huyện Giồng Riềng"
"366","Kiên Giang","Huyện Gò Quao"
"367","Kiên Giang","Huyện Hòn Đất"
"368","Kiên Giang","Huyện Kiên Hải"
"369","Kiên Giang","Huyện Kiên Lương"
"370","Kiên Giang","Huyện Tân Hiệp"
"371","Kiên Giang","Huyện U Minh Thượng"
"372","Kiên Giang","Huyện Vĩnh Thuận"
"373","Kon Tum","Thành phố Kon Tum (tỉnh lỵ)"
"374","Kon Tum","Huyện Đăk Glei"
"375","Kon Tum","Huyện Đăk Hà"
"376","Kon Tum","Huyện Đăk Tô"
"377","Kon Tum","Huyện Ia H'Drai"
"378","Kon Tum","Huyện Kon Plông"
"379","Kon Tum","Huyện Kon Rẫy"
"380","Kon Tum","Huyện Ngọc Hồi"
"381","Kon Tum","Huyện Sa Thầy"
"382","Kon Tum","Huyện Tu Mơ Rông"
"383","Lai Châu","Thành phố Lai Châu (tỉnh lỵ)"
"384","Lai Châu","Huyện Mường Tè"
"385","Lai Châu","Huyện Nậm Nhùn"
"386","Lai Châu","Huyện Phong Thổ"
"387","Lai Châu","Huyện Sìn Hồ"
"388","Lai Châu","Huyện Tam Đường"
"389","Lai Châu","Huyện Tân Uyên"
"390","Lai Châu","Huyện Than Uyên"
"391","Lâm Đồng","Thành phố Đà Lạt (tỉnh lỵ)"
"392","Lâm Đồng","Thành phố Bảo Lộc"
"393","Lâm Đồng","Huyện Bảo Lâm"
"394","Lâm Đồng","Huyện Cát Tiên"
"395","Lâm Đồng","Huyện Đạ Huoai"
"396","Lâm Đồng","Huyện Đạ Tẻh"
"397","Lâm Đồng","Huyện Đam Rông"
"398","Lâm Đồng","Huyện Di Linh"
"399","Lâm Đồng","Huyện Đơn Dương"
"400","Lâm Đồng","Huyện Đức Trọng"
"401","Lâm Đồng","Huyện Lạc Dương"
"402","Lâm Đồng","Huyện Lâm Hà"
"403","Lạng Sơn","Thành phố Lạng Sơn (tỉnh lỵ)"
"404","Lạng Sơn","Huyện Bắc Sơn"
"405","Lạng Sơn","Huyện Bình Gia"
"406","Lạng Sơn","Huyện Cao Lộc"
"407","Lạng Sơn","Huyện Chi Lăng"
"408","Lạng Sơn","Huyện Đình Lập"
"409","Lạng Sơn","Huyện Hữu Lũng"
"410","Lạng Sơn","Huyện Lộc Bình"
"411","Lạng Sơn","Huyện Tràng Định"
"412","Lạng Sơn","Huyện Văn Lãng"
"413","Lạng Sơn","Huyện Văn Quan"
"414","Lào Cai","Thành phố Lào Cai (tỉnh lỵ)"
"415","Lào Cai","Thị xã Sa Pa"
"416","Lào Cai","Huyện Bắc Hà"
"417","Lào Cai","Huyện Bảo Thắng"
"418","Lào Cai","Huyện Bảo Yên"
"419","Lào Cai","Huyện Bát Xát"
"420","Lào Cai","Huyện Mường Khương"
"421","Lào Cai","Huyện Si Ma Cai"
"422","Lào Cai","Huyện Văn Bàn"
"423","Long An","Thành phố Tân An (tỉnh lỵ)"
"424","Long An","Thị xã Kiến Tường"
"425","Long An","Huyện Bến Lức"
"426","Long An","Huyện Cần Đước"
"427","Long An","Huyện Cần Giuộc"
"428","Long An","Huyện Châu Thành"
"429","Long An","Huyện Đức Hòa"
"430","Long An","Huyện Đức Huệ"
"431","Long An","Huyện Mộc Hóa"
"432","Long An","Huyện Tân Hưng"
"433","Long An","Huyện Tân Thạnh"
"434","Long An","Huyện Tân Trụ"
"435","Long An","Huyện Thạnh Hóa"
"436","Long An","Huyện Thủ Thừa"
"437","Long An","Huyện Vĩnh Hưng"
"438","Nam Định","Thành phố Nam Định (tỉnh lỵ)"
"439","Nam Định","Huyện Giao Thủy"
"440","Nam Định","Huyện Hải Hậu"
"441","Nam Định","Huyện Mỹ Lộc"
"442","Nam Định","Huyện Nam Trực"
"443","Nam Định","Huyện Nghĩa Hưng"
"444","Nam Định","Huyện Trực Ninh"
"445","Nam Định","Huyện Vụ Bản"
"446","Nam Định","Huyện Xuân Trường"
"447","Nam Định","Huyện Ý Yên"
"448","Nghệ An","Thành phố Vinh (tỉnh lỵ)"
"449","Nghệ An","Thị xã Cửa Lò"
"450","Nghệ An","Thị xã Hoàng Mai"
"451","Nghệ An","Thị xã Thái Hòa"
"452","Nghệ An","Huyện Anh Sơn"
"453","Nghệ An","Huyện Con Cuông"
"454","Nghệ An","Huyện Diễn Châu"
"455","Nghệ An","Huyện Đô Lương"
"456","Nghệ An","Huyện Hưng Nguyên"
"457","Nghệ An","Huyện Kỳ Sơn"
"458","Nghệ An","Huyện Nam Đàn"
"459","Nghệ An","Huyện Nghi Lộc"
"460","Nghệ An","Huyện Nghĩa Đàn"
"461","Nghệ An","Huyện Quế Phong"
"462","Nghệ An","Huyện Quỳ Châu"
"463","Nghệ An","Huyện Quỳ Hợp"
"464","Nghệ An","Huyện Quỳnh Lưu"
"465","Nghệ An","Huyện Tân Kỳ"
"466","Nghệ An","Huyện Thanh Chương"
"467","Nghệ An","Huyện Tương Dương"
"468","Nghệ An","Huyện Yên Thành"
"469","Ninh Bình","Thành phố Ninh Bình (tỉnh lỵ)"
"470","Ninh Bình","Thành phố Tam Điệp"
"471","Ninh Bình","Huyện Gia Viễn"
"472","Ninh Bình","Huyện Hoa Lư"
"473","Ninh Bình","Huyện Kim Sơn"
"474","Ninh Bình","Huyện Nho Quan"
"475","Ninh Bình","Huyện Yên Khánh"
"476","Ninh Bình","Huyện Yên Mô"
"477","Ninh Thuận","Thành phố Phan Rang - Tháp Chàm (tỉnh lỵ)"
"478","Ninh Thuận","Huyện Bác Ái"
"479","Ninh Thuận","Huyện Ninh Hải"
"480","Ninh Thuận","Huyện Ninh Phước"
"481","Ninh Thuận","Huyện Ninh Sơn"
"482","Ninh Thuận","Huyện Thuận Bắc"
"483","Ninh Thuận","Huyện Thuận Nam"
"484","Phú Thọ","Thành phố Việt Trì (tỉnh lỵ)"
"485","Phú Thọ","Thị xã Phú Thọ"
"486","Phú Thọ","Huyện Cẩm Khê"
"487","Phú Thọ","Huyện Đoan Hùng"
"488","Phú Thọ","Huyện Hạ Hòa"
"489","Phú Thọ","Huyện Lâm Thao"
"490","Phú Thọ","Huyện Phù Ninh"
"491","Phú Thọ","Huyện Tam Nông"
"492","Phú Thọ","Huyện Tân Sơn"
"493","Phú Thọ","Huyện Thanh Ba"
"494","Phú Thọ","Huyện Thanh Sơn"
"495","Phú Thọ","Huyện Thanh Thủy"
"496","Phú Thọ","Huyện Yên Lập"
"497","Phú Yên","Thành phố Tuy Hòa (tỉnh lỵ)"
"498","Phú Yên","Thị xã Đông Hòa"
"499","Phú Yên","Thị xã Sông Cầu"
"500","Phú Yên","Huyện Đồng Xuân"
"501","Phú Yên","Huyện Phú Hòa"
"502","Phú Yên","Huyện Sơn Hòa"
"503","Phú Yên","Huyện Sông Hinh"
"504","Phú Yên","Huyện Tây Hòa"
"505","Phú Yên","Huyện Tuy An"
"506","Quảng Bình","Thành phố Đồng Hới (tỉnh lỵ)"
"507","Quảng Bình","Thị xã Ba Đồn"
"508","Quảng Bình","Huyện Bố Trạch"
"509","Quảng Bình","Huyện Lệ Thủy"
"510","Quảng Bình","Huyện Minh Hóa"
"511","Quảng Bình","Huyện Quảng Ninh"
"512","Quảng Bình","Huyện Quảng Trạch"
"513","Quảng Bình","Huyện Tuyên Hóa"
"514","Quảng Nam","Thành phố Tam Kỳ (tỉnh lỵ)"
"515","Quảng Nam","Thành phố Hội An"
"516","Quảng Nam","Thị xã Điện Bàn"
"517","Quảng Nam","Huyện Bắc Trà My"
"518","Quảng Nam","Huyện Đại Lộc"
"519","Quảng Nam","Huyện Đông Giang"
"520","Quảng Nam","Huyện Duy Xuyên"
"521","Quảng Nam","Huyện Hiệp Đức"
"522","Quảng Nam","Huyện Nam Giang"
"523","Quảng Nam","Huyện Nam Trà My"
"524","Quảng Nam","Huyện Nông Sơn"
"525","Quảng Nam","Huyện Núi Thành"
"526","Quảng Nam","Huyện Phú Ninh"
"527","Quảng Nam","Huyện Phước Sơn"
"528","Quảng Nam","Huyện Quế Sơn"
"529","Quảng Nam","Huyện Tây Giang"
"530","Quảng Nam","Huyện Thăng Bình"
"531","Quảng Nam","Huyện Tiên Phước"
"532","Quảng Ngãi","Thành phố Quảng Ngãi (tỉnh lỵ)"
"533","Quảng Ngãi","Thị xã Đức Phổ"
"534","Quảng Ngãi","Huyện Ba Tơ"
"535","Quảng Ngãi","Huyện Bình Sơn"
"536","Quảng Ngãi","Huyện Lý Sơn"
"537","Quảng Ngãi","Huyện Minh Long"
"538","Quảng Ngãi","Huyện Mộ Đức"
"539","Quảng Ngãi","Huyện Nghĩa Hành"
"540","Quảng Ngãi","Huyện Sơn Hà"
"541","Quảng Ngãi","Huyện Sơn Tây"
"542","Quảng Ngãi","Huyện Sơn Tịnh"
"543","Quảng Ngãi","Huyện Trà Bồng"
"544","Quảng Ngãi","Huyện Tư Nghĩa"
"545","Quảng Ninh","Thành phố Hạ Long (tỉnh lỵ)"
"546","Quảng Ninh","Thành phố Cẩm Phả"
"547","Quảng Ninh","Thành phố Móng Cái"
"548","Quảng Ninh","Thành phố Uông Bí"
"549","Quảng Ninh","Thị xã Đông Triều"
"550","Quảng Ninh","Thị xã Quảng Yên"
"551","Quảng Ninh","Huyện Ba Chẽ"
"552","Quảng Ninh","Huyện Bình Liêu"
"553","Quảng Ninh","Huyện Cô Tô"
"554","Quảng Ninh","Huyện Đầm Hà"
"555","Quảng Ninh","Huyện Hải Hà"
"556","Quảng Ninh","Huyện Tiên Yên"
"557","Quảng Ninh","Huyện Vân Đồn"
"558","Quảng Trị","Thành phố Đông Hà (tỉnh lỵ)"
