Tiếng Việt,Tiếng BaNa
"Căn cứ Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020","Kaên köê Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
Theo đề nghị của Sở Nông nghiệp và Phát triển nông thôn tại Văn bản số 1091/SNN-TL ngày 18/5/2020,‘Boi pôthop khan ñôêng Sô Noâng nghieâp oeêng pôjing cham pôlei lôêm Vaên ‘ban ksoâÊ minh khoâng tôxiênh minh/SNN-TL ‘naêr minh jiêt tôhngam kheêi pôñaêm sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt
"Ban hành kèm theo Quyết định này Kế hoạch thực hiện Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 trên địa bàn tỉnh","AÊn leêch pôteêp adriêng KueâÊt ñinh anu glong pônhroh pôm Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh"
"Giám đốc Sở Nông nghiệp và Phát triển nông thôn chủ trì, phối hợp với các cơ quan, đơn vị có liên quan theo dõi, đôn đốc, kiểm tra việc triển khai thực hiện Kế hoạch này","Giam ñoâk Sô Noâng nghieâp oeêng pôjing cham pôlei pôgôl, adriêng rim kô kuan, ñôn viê ôêi lieân kuan pôtho khan, ngoê hnheêi tôdrong pônhroh pôm glong pônhroh anu"
"Tổng hợp báo cáo, đề xuất Ủy ban nhân dân tỉnh xem xét, chỉ đạo thực hiện","Toâng hôêp pôthgo khan, pôkaê UBND ngoê hnhei, pôgôl pôm"
"Chánh Văn phòng Ủy ban nhân dân tỉnh, Giám đốc các Sở: Nông nghiệp và Phát triển nông thôn, Tài nguyên và Môi trường, Chủ tịch Ủy ban nhân dân các huyện, thị xã, thành phố và Thủ trưởng các cơ quan, đơn vị có liên quan chịu trách nhiệm thi hành Quyết định này kể từ ngày ký","Chaênh vaên phong UBND tinh, Giam ñoâk rim Sô: Noâng nghieâp oeêng pôjing cham pôlei, Tai ngueân oeêng Moâi tröông, Chu tich UBND rim hueân, thi xa, thanh phoâÊ oeêng pôgôl rim kô kuan, ñôn viê ôêi lieân kuan ôêi tôdrong pôm KueâÊt ñinh anu khan ñôêng ‘naêr kyê"
"Kế hoạch thực hiện Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn về việc tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 trên địa bàn tỉnh","Glong pônhroh pôm Chi thi ksoâÊ minh peâng tôxiênh minh/ CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei lôêm tôdrong kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt lôêm tôring tinh"
Ban hành kèm theo Quyết định số: 2092/QĐ-UBND ngày 01/6/2020 của Chủ tịch Ủy ban nhân dân tỉnh,AÊn leêch pôteêp adriêng KueâÊt ñinh ksoâÊ: ‘Baêl khoâng tôxiênh ‘baêl/QÑ-UBND ‘naêr minh kheêi drôêu sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng Chu tich UBND tinh
"Huy động nguồn lực cả hệ thống chính trị, toàn xã hội cho công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão năm 2020 theo phương châm “4 tại chỗ”","Krao nguoân löêk ñôêng ñiê ñaêng heâ thoâÊng chiênh tri, ñiê ñaêng xa hoâi aên tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ‘boi tôdrong “puoân minh dônoê”"
"Xác định trách nhiệm của người đứng đầu địa phương, các sở, ban, ngành, cơ quan, hội, đoàn thể trong tỉnh","Pôtho khan trach nhieâm ñôêng bôngai pôgôl cham pôlei, rim sô, ‘ban, nganh, kô kuan, hoâi, ñoan theâ lôêm tinh"
"Tăng cường công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão nhằm bảo vệ cơ sở hạ tầng, hệ thống công trình thủy lợi, đê điều và giảm thiểu thiệt hại về tính mạng, tài sản của nhân dân","Kjung tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but söê jö veêi kô sô ha taâng, tôdrong koâng trinh thuy lôi, böêt ñak oeêng pôm tôjul hiong hiôt lôêm ôkôêu, kua tômam ñôêng kon tôring"
"Thực hiện đồng bộ, tổng thể các giải pháp phi công trình và công trình trong công tác quản lý đê điều theo lộ trình, đảm bảo tính bền vững, an toàn và hiệu quả, hiệu lực thiết thực","Pôm adriêng ñiê ñaêng rim tôdrong phi koâng trinh oeêng koâng trinh lôêm tôdrong ngoê hnheêi böêt ñak ‘boi tôdrong, tômaên tôl tôdrong kôjaêp, an toan oeêng thu ‘yoêk tôpaê"
"Quán triệt sâu sắc và tuyên truyền rộng rãi trong cán bộ, đảng viên và Nhân dân thực hiện nghiêm quy định của pháp luật về đê điều","Pôtho khan pôgloh oeêng pôtho khan saê lôêm kang boâ, ñang vieân oeêng kon tôring pôm hôgeêi tôdrong ñôêng phap luaât lôêm tôdrong böêt ñak"
Chỉ thị số 24/CT-TTg ngày 07/10/2019 của Thủ tướng Chính phủ về việc tăng cường xử lý vi phạm pháp luật về đê điều,Chi thi ksoâÊ ‘baêl jiêt puoân/CT-TTg ‘naêr tôpôêh kheêi minh jiêt sônaêm ‘baêl ôbôêu khoâng hrieâng minh jiêt tôxiênh ñôêng Thu töông kôpal teh ñak lôêm tôdrong kjung xö lyê pôm glaêi phap luaât tôdrong böêt ñak
Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn,Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei
"Nâng cao nhận thức, trách nhiệm lãnh đạo, chỉ đạo của các cấp ủy đảng, chính quyền, đoàn thể, của các cơ quan, ban, ngành và người dân trong công tác quản lý đê điều và chuẩn bị sẵn sàng hộ đê, chống lũ, bão","Poâk xuoân tôdrong baêt, tôdrong pôgôl ñôêng rim kôêp uy ñang, khul pôgôl, ñoan theâ ñôêng rim kô kuan, ‘ban, nganh oeêng naê ma lôêm tôdrong ngoê hnheêi böêt ñak oeêng chuaân ‘bi goâ ñeêch tôguêm böêt ñak, dôt ñak tih, ami but"
"Ủy ban nhân dân các huyện, thị xã, thành phố, các sở, ban, ngành của tỉnh theo chức năng, chủ động triển khai các biện pháp bảo đảm an toàn cho đê, đặc biệt là các vị trí đê xung yếu, trọng điểm","UBND rim hueân, thi xa, thanh phoâÊ, rim sô, ‘ban, nganh ñôêng tinh ‘boi tôdrong, chu ñoâng pônhroh rim tôdrong tômaên tôl an toan aên böêt ñak, pôgloh la dônoê böêt ñak kheê, pôgloh"
"Chuẩn bị sẵn sàng tổ chức phương án hộ đê, phương án ứng phó trong điều kiện xảy ra bão, lũ lớn, lũ kép theo phương châm “4 tại chỗ”","Chuaân ‘bi goâ ñeêch pôloêk tôdrong tôguêm böêt ñak, tôdrong öêng phoê lôêm tôdrong ôêi leêch but groâng, ñak tih keêp ‘boi tôdrong “puoân minh dônoê”"
"Chỉ đạo tăng cường kiểm tra, rà soát tình hình vi phạm pháp luật về đê điều trên địa bàn",Pôgôl kjung naêm ngoê hnheêi tôdrong pôm glaêi phap luaât lôêm tôdrong böêt ñak lôêm tôring
"Việc vi phạm quyết định cho phép của các tổ chức, cá nhân có các hoạt động liên quan đến đê điều (xây dựng công trình, khai thác cát, ...) kiên quyết ngăn chặn kịp thời, xử lý dứt điểm các hành vi vi phạm theo quy định của pháp luật","Tôdrong pôm glaêi kueâÊt ñinh aên pheêp ñôêng rim toâ chöêk, kôdih ôkôêu ôêi rim tôdrong pôm lieân kuan truh böêt ñak (pôm koâng trinh, khai thak chuêah…) tôpaê gôên tôtam, xö lyê ñiê rim tôdrong pôgaêi ‘boi tôdrong ñôêng phap luaât"
"Ủy ban nhân dân các huyện, thị xã, thành phố chỉ đạo xử lý dứt điểm hành vi lấn chiếm mặt đê, mái đê, hành lang bảo vệ, lòng sông có nguy cơ gây ảnh hưởng đến an toàn đê và khả năng thoát lũ trước ngày 31/8/2020","UBND rim hueân, thi xa, thanh phoâÊ pôgôl xö lyê ñiê tôdrong tôgal ‘yoêk maêt böêt ñak, hanh lang jö vei, klak ñak krong ôêi tôdrong pôm anh höông truh an toan böêt ñak oeêng tôdrong tôhnglaêih ñak tih adrol ‘naêr peâng jiêt minh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt"
"Trên cơ sở Kế hoạch này, các cơ quan, đơn vị có liên quan từ tỉnh đến cơ sở chủ động tham mưu với cấp ủy, chính quyền các cấp xây dựng, cụ thể hóa thành kế hoạch chi tiết triển khai thực hiện Chỉ thị số 1391/CT-BNN-PCTT ngày 25/02/2020 của Bộ Nông nghiệp và Phát triển nông thôn","Lôêm tôdrong glong pônhroh anu, rim kô kuan, ñôn viê ôêi lieân kuan ñôêng tinh truh kô sô chu ñoâng pôñam ‘bôl ñon adriêng kôêp uy, khul pôgôl rim kôêp tôjung pôm, ku theâ hoêa keh glong pônhroh chi tieâÊt pônhroh pôm Chi thi ksoâÊ minh peâng tôxiênh minh/CT-BNN-PCTT ‘naêr ‘baêl jiêt pôñaêm kheêi ‘baêl sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei"
"Tăng cường hiệu lực, hiệu quả quản lý nhà nước, ngăn chặn, xử lý kịp thời các vi phạm pháp luật về đê điều","Kjung hieâu thöêk, thu ‘yoêk ngoê hnheêi kôpal, gôên, xö lyê tôtam rim tôdrong pôm glaêi phap luaât lôêm tôdrong böêt ñak"
"Huy động nguồn lực cả hệ thống chính trị, toàn xã hội cho công tác quản lý đê điều để chủ động xử lý những sự cố phát sinh đột xuất trước, trong mùa lũ, bão và tu bổ, nâng cấp các tuyến đê thiết yếu khác nhằm từng bước kiên cố, nâng cấp đồng bộ hệ thống đê, kè của tỉnh, góp phần quan trọng trong việc phòng chống thiên tai, bảo vệ tính mạng, tài sản của nhân dân","Krao nguoân löêk ñôêng ñiê ñaêng heâ thoâÊng chiênh triê, ñiê ñaêng xa hoâi aên tôdrong ngoê hnheêi böêt ñak söê chu ñoâng xö lyê rim tôdrong ôêi leêch ñoât xuaât adrol, lôêm jan ami but oeêng tu ‘boâ, poâk xuoân rim tueâÊn ñeâ pôgloh nai söê rim tôdrong pôm kôjaêp, poâk xuoân ñoâng ‘boâ heâ thoâÊng ñeâ, böêt ñak ñôêng tinh, pôgoêp tôdrong pôgloh lôêm tôdrong phong dôt thieân tai, jö vei ôkôêu, kua tômaêm aên kon tôring"
"Sở Nông nghiệp và Phát triển nông thôn phối hợp với Ủy ban nhân dân cấp huyện kiểm tra, đánh giá hiện trạng hệ thống đê điều; xây dựng và triển khai phương án hộ đê theo phương châm “4 tại chỗ”","Sô Noâng nghieâp oeêng pôjing cham pôlei adriêng UBND kôêp hueân ngoê hnheêi, pôtho khan tôdrong böêt ñak; tôjung pôm oeêng pônhroh tôdrong tôguêm böêt ñak ‘boi tôdrong “puoân minh dônoê”"
Sở Nông nghiệp và Phát triển nông thôn phối hợp với Ủy ban nhân dân các huyện tổ chức hướng dẫn lực lượng quản lý đê nhân dân thực hiện công tác tuần tra bảo vệ đê điều trong mùa mưa lũ theo quy định tại Thông tư số 01/2009/TT-BNN ngày 06/01/2009 của Bộ Nông nghiệp và Phát triển nông thôn để phát hiện và xử lý kịp thời ngay từ giờ đầu đảm bảo an toàn cho hệ thống đê điều và báo cáo kịp thời khi xảy ra sự cố đê điều trên địa bàn,Sô Noâng nghieâp oeêng pôjing cham pôlei adriêng UBND rim hueân pôloêk pôtho khan löêk löông ngoê hnheêi böêt ñak kon tôring pôm tôdrong naêm ngoê hnheêi jö vei böêt ñak lôêm jan ami but ‘boi tôdrong lôêm Thoâng tö ksoâÊ khoâng minh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh/TT-BNN ‘naêr drôêu kheêi minh sônaêm ‘baêl ôbôêu khoâng hrieâng le tôxiênh ñôêng ‘Boâ Noâng nghieâp oeêng pôjing cham pôlei söê ‘boh oeêng xö lyê tôtam ñôêng pôtôm tômaên tôl an toan aên tôdrong böêt ñak oeêng pôtho khan tôtam jônang ôêi leêch tôdrong böêt ñak lôêm tôring
"Sở Nông nghiệp và Phát triển nông thôn phối hợp chặt chẽ với Ủy ban nhân dân cấp huyện, các Ban Quản lý dự án tỉnh, huyện và các đơn vị liên quan","Sô Noâng nghieâp oeêng pôjing cham pôlei adriêng kôjaêp adriêng UBND kôêp hueân, rim khul ngoê hnheêi yöê an tinh, hueân oeêng rim ñôn viê lieân kuan"
"Tập trung mọi nguồn lực đẩy nhanh tiến độ thi công công trình liên quan đến đê điều xong trước 31/8/2020 và có phương án bảo đảm an toàn cho công trình khi có lũ, bão","Pônhoâm ñiê ñaêng nguoân löêk jôraê ranh tôdrong pôm koâng trinh lieân kuan truh böêt ñak keh adrol ‘naêr peâng jiêt minh kheêi tôhngam sônaêm ‘baêl ôbôêu khoâng hrieâng ‘baêl jiêt oeêng ôêi tôdrong tômaên tôl an toan aên koâng trinh jônang ôêi ñak tih, but"
"Tăng cường kiểm tra, kịp thời phát hiện hành vi vi phạm, ngăn chặn kịp thời từ khi mới phát sinh","Kjung ngoê hnhei, tôtam ‘boh tôdrong pôm glaêi, gôên tôtam ñôêng jônang anao ôêi leech"
"Kiến nghị Ủy ban nhân dân cấp huyện xử lý nghiêm, kiên quyết, dứt điểm từng vụ vi phạm theo quy định của pháp luật","Pôtho khan UBND kôêp hueân xö lyê tôpaê, pôgloh, ñiê rim vuê pôm glaêi ‘boi tôdrong ñôêng phap luaât"
"Chỉ đạo Chi cục Thủy lợi tổ chức hướng dẫn các tổ chức, cá nhân có hoạt động liên quan đến đê điều tuân thủ nghiêm các quy định liên quan đến việc cấp phép đối với các hoạt động phải được cấp phép theo quy định của pháp luật về đê điều và giám sát việc thực hiện bảo đảm đúng quy định","Pôgôl Chi kuêk thuy lôi pôloêk pôtho khan rim toâ chöêk, kôdih ôkôêu ôêi tôdrong pôm lieân kuan truh böêt ñak pôm trô troê tôpaê rim tôdrong lieân kuan truh tôdrong kôêp pheêp adriêng rim tôdrong pôm phai ñeêi kôêp pheêp ‘boi tôdrong ñôêng phap luaât lôêm tôdrong böêt ñak oeêng ngoê hnheêi tôdrong pôm tômaên tôl trô troê tôdrong"
"Thường xuyên tổng hợp tình hình vi phạm và kết quả xử lý vi phạm về pháp luật về đê điều, kịp thời kiến nghị các địa phương tăng cường quản lý, ngăn chặn, xử lý vi phạm pháp luật về đê điều","Deêch toâng hôêp tôdrong pôm glaêi oeêng thu ‘yoêk xö lyê pôm glaêi phap luaât lôêm tôdrong böêt ñak, tôtam pôtho khan rim cham pôlei kjung ngoê hnheêi, gôên, xö lyê pôm glaêi phap luaât lôêm tôdrong böêt ñak"
"Sở Tài nguyên và Môi trường tăng cường kiểm tra, giám sát các tổ chức, cá nhân đã được cấp phép khai thác, vận chuyển, tập kết, kinh doanh cát sỏi lòng sông để đảm bảo không gây ảnh hưởng đến an toàn đê điều","Sô Tai ngueân oeêng Moâi tröông kjung naêm ngoê hnheêi rim toâ chöêk, kôdih ôkôêu jôh ñeêi kôêp pheêp khai thak, cheêp chô, pônhoâm, teêch bôdro chuêah, tamo lôêm ñak krong söê tômaên tôl biê pôm anh höông truh an toan böêt ñak"
